Id,Response
2,8
5,4
6,8
7,8
8,8
10,8
11,8
14,6
15,8
16,6
17,6
18,3
19,1
20,3
22,8
23,5
24,8
25,8
26,1
27,8
29,8
31,5
32,2
33,8
34,6
35,7
37,6
39,8
40,6
41,7
42,4
44,7
46,7
47,5
49,6
52,1
53,8
56,7
57,1
58,1
60,8
61,7
64,5
65,6
67,1
68,8
70,6
71,8
72,5
73,5
74,8
75,6
76,6
77,3
78,8
79,5
80,6
81,6
85,8
87,6
88,7
91,7
93,6
94,8
95,8
96,6
97,8
99,7
101,6
102,6
103,6
104,8
106,6
107,7
108,5
109,7
110,8
111,8
112,7
113,8
114,3
116,4
117,1
118,6
120,2
121,8
122,7
123,5
125,6
126,8
128,8
129,5
130,1
131,8
132,8
134,6
135,6
136,5
137,8
138,8
139,5
142,6
144,7
145,8
146,8
147,1
148,2
149,8
150,2
152,8
153,8
155,1
156,8
158,8
159,6
160,6
161,8
162,5
164,5
165,6
167,6
169,8
171,8
172,6
174,6
175,8
176,5
177,8
178,1
179,5
181,5
183,8
186,5
187,8
188,8
189,8
190,8
191,1
192,8
193,5
194,6
198,1
199,1
200,8
201,8
202,6
203,5
204,8
205,5
206,5
207,6
208,6
209,2
210,7
211,6
214,7
215,8
216,7
217,8
218,7
220,4
221,8
222,8
223,8
224,8
226,7
228,1
229,7
230,8
231,5
233,8
234,7
235,6
236,4
237,8
238,8
240,4
241,8
242,7
243,8
244,8
245,8
246,6
248,7
249,6
250,5
252,3
253,8
255,8
256,2
257,8
258,2
259,8
260,8
262,6
263,5
265,8
266,4
268,8
269,8
270,8
271,8
273,8
274,8
276,1
278,8
279,8
280,7
281,2
282,8
285,8
286,8
288,8
289,5
290,8
292,8
295,8
296,8
297,5
298,8
299,2
300,5
301,8
302,1
303,7
304,6
306,5
308,8
310,8
312,7
313,8
314,7
315,8
316,1
317,8
318,8
319,8
320,1
321,6
324,5
325,6
327,1
328,7
329,6
331,6
332,8
333,7
334,8
336,2
339,8
340,8
342,8
343,2
344,8
345,6
347,8
349,8
350,5
351,8
353,2
354,8
355,7
357,2
359,8
360,7
361,8
362,7
363,7
364,4
365,8
367,1
368,8
370,8
371,8
372,5
374,8
376,8
377,5
378,5
379,8
380,6
382,8
383,8
385,6
387,8
388,8
389,1
390,2
391,8
392,8
393,8
394,6
395,8
398,6
400,8
401,1
402,8
403,8
404,1
406,7
407,8
408,8
409,7
410,8
411,8
413,8
414,6
415,7
416,8
418,8
419,8
420,8
422,5
423,1
424,8
426,6
428,4
429,2
431,8
434,5
435,8
437,8
439,6
440,5
443,1
445,8
447,8
449,6
451,8
452,7
453,2
455,1
456,8
457,7
458,5
459,6
460,8
461,1
462,1
463,4
464,7
466,1
467,8
468,8
469,1
471,7
473,6
474,8
476,1
477,8
478,8
479,7
480,5
481,6
482,8
483,8
485,7
486,6
487,8
488,6
489,8
490,8
491,6
492,7
493,2
494,5
496,8
499,8
500,4
503,8
504,8
506,8
507,7
508,8
509,7
510,7
511,2
512,8
513,5
514,8
517,8
518,6
519,8
520,7
521,6
522,5
523,6
524,1
525,5
526,7
528,5
530,6
532,6
534,8
535,8
536,7
538,8
539,8
540,5
542,8
543,2
544,8
545,1
547,6
551,8
552,2
554,8
555,8
556,6
557,6
558,1
560,1
562,8
563,1
565,5
566,6
567,8
568,8
569,2
570,8
571,5
572,8
573,2
575,6
576,1
577,7
581,7
583,8
585,8
586,4
587,8
589,5
590,8
591,5
592,8
593,5
594,6
595,6
597,8
598,7
599,8
600,8
601,2
604,2
605,4
606,8
607,6
608,6
609,8
610,7
611,8
612,6
615,5
616,8
617,8
618,8
621,8
622,8
623,1
626,8
627,1
629,8
631,1
632,8
633,8
634,6
638,6
639,7
640,2
642,1
643,5
645,7
646,8
647,8
649,8
650,8
651,7
652,7
653,8
655,8
656,6
657,2
659,8
660,7
661,5
662,8
663,6
665,5
668,4
669,8
671,2
673,8
675,5
677,5
678,2
679,6
680,6
681,8
682,7
683,5
686,5
687,5
688,7
689,5
690,8
691,2
692,8
695,1
696,8
697,6
698,7
699,8
701,7
704,4
706,3
707,8
708,8
709,8
710,6
712,5
713,2
714,7
715,3
716,6
717,8
719,8
720,8
721,6
723,1
724,8
725,8
728,8
729,7
730,5
731,5
733,8
734,8
736,8
737,5
738,5
739,7
741,6
742,6
743,8
744,7
745,8
746,8
747,8
749,1
752,8
753,8
754,2
755,6
757,1
758,5
759,6
760,6
761,7
763,8
764,2
765,8
767,7
768,7
769,2
772,5
773,8
774,7
775,7
776,6
777,5
778,7
780,8
781,3
783,6
785,8
786,1
787,8
788,2
789,8
790,6
791,8
792,5
794,4
795,7
796,8
797,8
799,5
802,1
803,8
804,6
806,6
808,6
809,6
810,8
811,8
812,2
814,7
815,2
816,8
817,8
818,8
821,2
824,1
825,8
826,2
827,2
828,2
829,8
830,6
831,8
832,7
835,2
836,8
837,8
838,8
839,7
840,8
841,5
843,7
844,8
846,4
847,6
848,6
849,8
850,6
851,8
852,5
853,3
854,8
855,1
857,8
858,8
859,7
861,8
862,2
863,7
865,4
866,6
867,1
868,8
870,8
871,8
873,8
874,8
875,8
876,8
879,8
880,8
881,8
882,4
883,6
884,7
885,1
886,8
887,7
888,8
889,1
890,8
891,6
892,6
895,7
897,5
898,8
901,5
902,8
903,8
904,2
905,1
906,7
907,8
908,8
909,1
910,8
912,7
913,6
915,3
916,1
918,8
920,6
921,8
922,7
924,4
927,8
928,6
929,4
930,5
931,8
932,5
933,8
935,5
936,4
937,8
939,5
941,8
942,6
943,5
944,8
945,6
946,6
947,3
948,8
949,8
950,4
951,2
952,2
953,3
954,8
957,6
958,6
959,8
960,4
961,1
962,5
963,8
964,5
965,7
966,1
967,8
968,5
969,8
970,8
972,5
974,8
975,6
976,7
977,1
980,7
982,6
983,8
984,7
985,8
986,8
987,8
989,1
991,8
993,6
994,8
995,8
998,8
1001,3
1002,8
1003,5
1004,7
1005,6
1007,8
1008,1
1010,5
1011,8
1012,8
1013,7
1014,6
1015,7
1016,8
1017,5
1019,6
1020,5
1021,8
1022,8
1023,7
1024,8
1026,1
1027,8
1028,6
1029,8
1030,4
1031,8
1032,8
1033,8
1034,8
1035,4
1036,8
1037,8
1039,1
1040,6
1041,6
1043,1
1044,8
1048,8
1049,8
1051,8
1053,5
1055,6
1056,8
1058,5
1059,7
1060,6
1062,1
1063,8
1064,8
1065,8
1066,7
1067,5
1068,3
1070,1
1072,8
1076,5
1077,7
1078,6
1079,8
1080,8
1081,8
1082,2
1085,6
1086,1
1087,8
1088,8
1090,8
1091,8
1092,8
1093,6
1094,6
1095,2
1096,6
1097,7
1098,8
1100,6
1101,2
1102,8
1104,2
1105,7
1106,6
1107,8
1108,6
1109,6
1111,1
1112,5
1113,7
1114,2
1115,8
1116,8
1117,7
1118,6
1119,6
1120,8
1121,1
1122,8
1124,6
1125,8
1126,3
1127,7
1128,6
1129,8
1131,7
1132,5
1133,8
1134,8
1136,8
1138,8
1139,8
1140,5
1141,8
1142,7
1143,8
1144,5
1146,8
1148,8
1149,8
1150,5
1151,6
1155,2
1156,2
1157,8
1159,8
1160,8
1161,8
1162,8
1163,8
1164,2
1165,8
1167,8
1168,2
1169,8
1171,3
1173,8
1174,8
1175,8
1176,8
1177,6
1180,8
1184,8
1185,7
1186,8
1187,8
1188,5
1189,1
1190,7
1193,7
1194,5
1195,1
1196,7
1197,8
1198,8
1199,6
1201,6
1202,8
1203,8
1204,6
1206,8
1210,8
1211,8
1212,8
1213,8
1214,8
1215,8
1216,8
1218,1
1219,5
1220,5
1221,6
1222,2
1224,8
1227,8
1229,4
1231,6
1233,8
1234,7
1236,2
1238,1
1239,5
1240,8
1241,5
1242,8
1243,6
1244,8
1245,8
1246,3
1247,8
1248,8
1249,6
1250,8
1251,8
1252,5
1253,8
1254,8
1255,6
1256,8
1258,8
1259,6
1260,8
1261,5
1262,1
1263,6
1264,6
1265,3
1268,6
1269,7
1270,7
1271,2
1272,7
1273,6
1275,8
1276,8
1279,6
1281,7
1283,8
1284,8
1285,8
1286,8
1287,5
1288,3
1289,8
1290,8
1291,8
1292,5
1295,7
1296,8
1297,7
1298,8
1299,8
1300,8
1301,6
1302,8
1303,8
1304,6
1307,8
1308,7
1309,7
1310,6
1312,8
1313,4
1314,2
1315,6
1316,6
1317,8
1319,8
1321,8
1322,8
1324,8
1326,8
1327,8
1329,2
1330,5
1331,2
1332,2
1333,8
1334,8
1335,6
1337,2
1338,6
1339,2
1342,8
1343,6
1346,8
1347,4
1349,8
1350,8
1351,5
1352,7
1353,8
1354,2
1355,6
1356,8
1357,1
1359,8
1360,8
1362,5
1363,8
1365,8
1366,8
1367,8
1368,5
1369,2
1370,8
1371,8
1372,8
1374,8
1375,1
1376,8
1379,8
1381,6
1384,4
1385,8
1388,1
1389,6
1391,8
1392,2
1393,8
1394,1
1396,6
1397,8
1399,1
1400,2
1401,2
1404,8
1406,7
1408,4
1409,1
1411,7
1413,2
1414,7
1415,6
1416,1
1417,8
1418,8
1420,6
1421,8
1422,8
1423,6
1424,4
1425,6
1427,8
1429,2
1430,3
1431,6
1432,1
1433,6
1434,7
1435,8
1439,8
1440,8
1442,8
1443,6
1445,5
1446,7
1447,8
1449,8
1450,5
1451,8
1452,1
1453,8
1455,8
1456,5
1458,8
1460,1
1461,8
1462,8
1464,5
1465,6
1466,8
1468,8
1469,5
1470,8
1472,8
1473,6
1474,8
1477,7
1478,8
1479,8
1483,8
1484,5
1485,8
1486,6
1487,6
1488,8
1490,3
1492,8
1493,7
1495,1
1497,8
1498,7
1499,6
1502,2
1506,8
1507,7
1508,8
1509,7
1510,8
1511,8
1512,6
1513,6
1514,8
1516,8
1518,7
1519,1
1522,3
1524,6
1525,7
1527,8
1528,5
1531,5
1532,8
1533,6
1534,8
1535,8
1536,8
1537,5
1538,2
1539,1
1540,1
1541,8
1542,1
1545,7
1546,6
1548,8
1549,8
1551,8
1553,8
1555,7
1556,7
1557,3
1558,8
1559,8
1560,8
1561,8
1562,8
1564,8
1565,6
1566,6
1567,8
1568,8
1569,5
1570,5
1571,8
1572,6
1573,8
1577,8
1578,6
1580,8
1581,8
1583,8
1586,8
1587,8
1588,8
1590,5
1591,1
1592,5
1593,7
1594,8
1595,8
1597,2
1599,8
1600,1
1601,7
1602,8
1603,8
1604,8
1605,8
1606,8
1607,3
1608,8
1609,8
1610,6
1612,6
1614,3
1616,8
1617,8
1619,1
1620,8
1621,6
1622,3
1623,8
1624,5
1625,8
1626,4
1628,8
1629,6
1631,7
1632,8
1633,6
1634,7
1635,3
1636,8
1637,5
1641,5
1643,6
1644,8
1646,8
1647,8
1649,1
1650,8
1651,8
1652,2
1653,7
1655,4
1656,8
1657,7
1658,4
1659,4
1660,1
1664,2
1665,8
1667,8
1669,6
1671,6
1673,1
1674,6
1675,8
1676,2
1677,7
1678,6
1679,2
1680,8
1684,7
1685,8
1686,8
1689,5
1690,2
1691,6
1692,7
1695,4
1696,8
1697,2
1698,8
1699,2
1701,6
1702,3
1703,8
1705,8
1706,8
1707,8
1708,3
1709,8
1710,8
1711,8
1713,8
1714,8
1715,2
1718,8
1719,7
1720,4
1721,8
1723,1
1725,8
1726,8
1727,8
1728,7
1729,8
1730,5
1731,8
1732,8
1733,6
1734,1
1735,7
1736,1
1737,7
1741,8
1742,8
1743,5
1744,8
1745,8
1746,7
1747,6
1748,7
1749,6
1750,6
1751,5
1752,6
1753,8
1754,6
1755,7
1756,8
1757,8
1758,8
1759,8
1760,2
1762,8
1764,6
1768,8
1769,7
1770,8
1773,2
1774,6
1775,8
1776,8
1778,8
1779,2
1780,6
1781,8
1782,8
1783,1
1785,8
1786,6
1787,6
1788,8
1789,8
1790,1
1791,5
1792,3
1793,7
1794,8
1795,4
1796,6
1797,8
1798,8
1800,5
1801,7
1802,4
1803,5
1804,8
1805,8
1807,6
1808,7
1809,4
1811,8
1813,8
1815,1
1816,1
1817,8
1820,2
1821,5
1825,5
1826,5
1827,5
1828,1
1829,8
1830,8
1831,8
1832,6
1833,1
1836,6
1837,5
1838,1
1839,8
1840,8
1841,6
1842,8
1843,4
1845,7
1846,1
1847,6
1852,8
1853,8
1854,8
1855,1
1857,8
1858,6
1859,7
1860,8
1861,8
1864,8
1865,1
1866,8
1867,2
1868,8
1869,8
1870,1
1871,6
1873,8
1876,8
1878,1
1879,8
1880,8
1881,5
1882,8
1883,4
1884,7
1885,1
1886,5
1887,8
1888,3
1889,5
1890,2
1891,8
1892,8
1893,2
1894,1
1895,8
1896,5
1897,8
1898,6
1899,8
1901,3
1903,5
1906,2
1907,7
1909,6
1910,8
1911,8
1912,8
1913,1
1915,8
1917,7
1918,8
1919,6
1920,6
1921,8
1923,7
1924,6
1925,4
1926,5
1927,1
1928,8
1929,8
1930,8
1931,2
1932,7
1935,8
1936,6
1937,1
1938,6
1940,7
1941,8
1943,8
1944,6
1945,2
1946,7
1948,6
1949,6
1950,8
1951,6
1952,6
1953,7
1954,8
1955,7
1956,7
1958,2
1959,2
1960,8
1961,6
1962,8
1963,8
1964,8
1965,7
1966,7
1967,7
1968,8
