Id,Response
2,1
5,4
6,8
7,8
8,8
10,8
11,8
14,2
15,8
16,1
17,6
18,3
19,7
20,1
22,8
23,5
24,8
25,8
26,1
27,8
29,8
31,6
32,5
33,8
34,6
35,6
37,6
39,1
40,7
41,6
42,4
44,7
46,7
47,2
49,6
52,6
53,8
56,7
57,1
58,2
60,6
61,2
64,5
65,7
67,2
68,7
70,6
71,6
72,5
73,5
74,8
75,6
76,6
77,1
78,8
79,6
80,2
81,6
85,8
87,6
88,7
91,7
93,6
94,8
95,8
96,6
97,8
99,7
101,5
102,6
103,6
104,8
106,6
107,7
108,7
109,7
110,8
111,6
112,6
113,5
114,4
116,1
117,7
118,5
120,1
121,8
122,7
123,2
125,6
126,8
128,8
129,5
130,1
131,8
132,8
134,6
135,1
136,1
137,8
138,8
139,1
142,1
144,6
145,7
146,8
147,2
148,1
149,8
150,2
152,5
153,8
155,6
156,8
158,7
159,6
160,6
161,8
162,2
164,7
165,6
167,6
169,8
171,8
172,1
174,6
175,8
176,1
177,8
178,1
179,2
181,5
183,8
186,2
187,8
188,8
189,8
190,6
191,1
192,8
193,1
194,6
198,1
199,2
200,8
201,8
202,6
203,5
204,7
205,6
206,5
207,7
208,2
209,5
210,1
211,6
214,7
215,8
216,7
217,6
218,2
220,4
221,8
222,8
223,8
224,8
226,7
228,6
229,7
230,8
231,5
233,6
234,8
235,6
236,4
237,8
238,2
240,1
241,8
242,1
243,8
244,8
245,6
246,7
248,1
249,6
250,1
252,6
253,1
255,7
256,6
257,6
258,2
259,6
260,8
262,6
263,2
265,8
266,4
268,7
269,8
270,8
271,8
273,7
274,8
276,1
278,8
279,6
280,7
281,5
282,2
285,6
286,1
288,8
289,6
290,8
292,8
295,1
296,6
297,1
298,8
299,6
300,5
301,8
302,1
303,1
304,6
306,1
308,8
310,7
312,7
313,8
314,7
315,8
316,2
317,8
318,8
319,7
320,1
321,7
324,2
325,6
327,1
328,7
329,6
331,6
332,8
333,6
334,8
336,6
339,8
340,8
342,8
343,2
344,8
345,6
347,8
349,8
350,2
351,8
353,1
354,2
355,2
357,6
359,8
360,6
361,7
362,7
363,2
364,3
365,8
367,6
368,8
370,8
371,8
372,2
374,8
376,8
377,2
378,5
379,5
380,2
382,1
383,6
385,6
387,8
388,8
389,6
390,6
391,8
392,8
393,8
394,1
395,8
398,5
400,8
401,1
402,8
403,6
404,8
406,7
407,8
408,8
409,7
410,8
411,8
413,8
414,6
415,7
416,2
418,8
419,8
420,1
422,5
423,1
424,8
426,6
428,4
429,2
431,7
434,5
435,8
437,8
439,6
440,6
443,1
445,8
447,8
449,7
451,8
452,6
453,5
455,6
456,8
457,6
458,1
459,7
460,8
461,2
462,7
463,4
464,7
466,8
467,8
468,8
469,1
471,7
473,2
474,8
476,5
477,8
478,8
479,7
480,5
481,8
482,8
483,8
485,8
486,2
487,8
488,6
489,8
490,8
491,3
492,6
493,5
494,1
496,8
499,8
500,6
503,7
504,8
506,7
507,6
508,7
509,2
510,7
511,5
512,8
513,5
514,8
517,8
518,5
519,8
520,7
521,7
522,5
523,6
524,5
525,6
526,7
528,1
530,6
532,2
534,8
535,8
536,6
538,8
539,8
540,2
542,8
543,1
544,8
545,2
547,6
551,8
552,6
554,8
555,8
556,6
557,6
558,2
560,2
562,8
563,2
565,5
566,6
567,6
568,8
569,1
570,2
571,7
572,8
573,6
575,6
576,1
577,7
581,6
583,8
585,8
586,3
587,8
589,1
590,8
591,5
592,8
593,5
594,6
595,6
597,8
598,7
599,8
600,7
601,7
604,2
605,4
606,8
607,6
608,6
609,7
610,8
611,6
612,6
615,1
616,8
617,8
618,8
621,8
622,8
623,1
626,8
627,1
629,8
631,7
632,8
633,8
634,6
638,5
639,7
640,1
642,1
643,6
645,1
646,2
647,6
649,8
650,8
651,1
652,7
653,8
655,8
656,6
657,1
659,1
660,7
661,2
662,8
663,7
665,5
668,6
669,8
671,2
673,8
675,6
677,5
678,2
679,8
680,6
681,8
682,7
683,5
686,5
687,7
688,7
689,2
690,8
691,1
692,8
695,1
696,8
697,6
698,7
699,8
701,7
704,3
706,2
707,6
708,8
709,8
710,6
712,6
713,6
714,7
715,6
716,6
717,7
719,2
720,8
721,6
723,2
724,8
725,8
728,8
729,8
730,5
731,5
733,8
734,8
736,8
737,6
738,6
739,1
741,1
742,6
743,8
744,1
745,8
746,7
747,8
749,1
752,8
753,8
754,2
755,5
757,6
758,5
759,6
760,5
761,7
763,8
764,1
765,8
767,7
768,6
769,2
772,6
773,8
774,7
775,6
776,6
777,2
778,7
780,8
781,4
783,2
785,8
786,7
787,8
788,2
789,7
790,6
791,8
792,2
794,6
795,2
796,8
797,5
799,1
802,7
803,8
804,6
806,7
808,5
809,7
810,8
811,8
812,7
814,7
815,6
816,6
817,8
818,8
821,7
824,6
825,8
826,2
827,6
828,6
829,8
830,6
831,8
832,2
835,2
836,8
837,8
838,8
839,7
840,8
841,5
843,7
844,8
846,7
847,6
848,6
849,8
850,6
851,2
852,5
853,3
854,8
855,2
857,8
858,7
859,7
861,6
862,2
863,6
865,4
866,1
867,8
868,8
870,8
871,8
873,8
874,8
875,8
876,8
879,8
880,8
881,2
882,4
883,7
884,1
885,6
886,8
887,7
888,8
889,2
890,8
891,6
892,8
895,8
897,5
898,8
901,1
902,8
903,8
904,1
905,7
906,8
907,8
908,8
909,7
910,8
912,1
913,2
915,5
916,6
918,6
920,7
921,8
922,8
924,4
927,7
928,6
929,4
930,1
931,6
932,2
933,8
935,5
936,6
937,8
939,5
941,8
942,6
943,5
944,8
945,8
946,2
947,4
948,8
949,8
950,4
951,8
952,7
953,2
954,8
957,6
958,6
959,8
960,4
961,8
962,5
963,8
964,5
965,1
966,1
967,8
968,5
969,8
970,8
972,5
974,8
975,5
976,8
977,1
980,7
982,2
983,8
984,7
985,8
986,6
987,8
989,7
991,8
