Id,Response
1,7
3,7
4,7
9,8
12,7
13,8
21,8
28,7
30,7
36,8
38,8
43,8
45,4
48,8
50,7
51,8
54,7
55,6
59,8
62,6
63,8
66,8
69,8
82,8
83,2
84,7
86,8
89,8
90,7
92,8
98,7
100,2
105,5
115,8
119,6
124,1
127,8
133,8
140,5
141,8
143,2
151,6
154,8
157,8
163,2
166,3
168,8
170,6
173,8
180,6
182,8
184,5
185,8
195,8
196,7
197,5
212,6
213,7
219,8
225,6
227,6
232,2
239,6
247,6
251,6
254,5
261,7
264,2
267,8
272,8
275,5
277,2
283,8
284,6
287,8
291,8
293,2
294,5
305,8
307,7
309,8
311,5
322,2
323,4
326,6
330,3
335,8
337,7
338,5
341,1
346,6
348,1
352,4
356,8
358,6
366,6
369,1
373,6
375,8
381,6
384,8
386,6
396,7
397,5
399,6
405,8
412,8
417,2
421,1
425,7
427,7
430,7
432,6
433,8
436,8
438,7
441,8
442,1
444,1
446,8
448,8
450,7
454,7
465,8
470,1
472,2
475,6
484,8
495,8
497,8
498,8
501,5
502,6
505,8
515,2
516,6
527,8
529,2
531,7
533,1
537,4
541,8
546,8
548,8
549,8
550,7
553,8
559,8
561,5
564,1
574,6
578,8
579,8
580,8
582,7
584,8
588,6
596,6
602,1
603,2
613,6
614,4
619,8
620,7
624,5
625,8
628,2
630,8
635,8
636,8
637,8
641,8
644,8
648,8
654,8
658,1
664,8
666,6
667,8
670,8
672,7
674,8
676,8
684,8
685,6
693,6
694,6
700,4
702,2
703,2
705,6
711,8
718,2
722,7
726,2
727,1
732,8
735,8
740,2
748,8
750,7
751,8
756,7
762,7
766,8
770,8
771,5
779,2
782,5
784,7
793,7
798,7
800,6
801,6
805,7
807,1
813,8
819,8
820,6
822,8
823,6
833,8
834,6
842,1
845,6
856,5
860,5
864,6
869,6
872,8
877,1
878,8
893,7
894,7
896,7
899,8
900,8
911,2
914,7
917,1
919,8
923,2
925,1
926,7
934,7
938,8
940,1
955,6
956,6
971,8
973,8
978,8
979,8
981,8
988,8
990,7
992,5
996,7
997,6
999,6
1000,7
1006,7
1009,4
1018,1
1025,2
1038,5
1042,1
1045,1
1046,8
1047,6
1050,6
1052,7
1054,8
1057,8
1061,4
1069,1
1071,7
1073,6
1074,8
1075,7
1083,7
1084,2
1089,5
1099,5
1103,7
1110,8
1123,8
1130,7
1135,8
1137,8
1145,8
1147,5
1152,8
1153,1
1154,7
1158,8
1166,6
1170,8
1172,8
1178,8
1179,6
1181,3
1182,7
1183,8
1191,7
1192,5
1200,3
1205,8
1207,8
1208,1
1209,7
1217,5
1223,8
1225,7
1226,2
1228,3
1230,6
1232,1
1235,8
1237,7
1257,8
1266,2
1267,6
1274,8
1277,8
1278,6
1280,8
1282,8
1293,5
1294,4
1305,1
1306,7
1311,7
1318,2
1320,2
1323,8
1325,5
1328,6
1336,5
1340,8
1341,8
1344,7
1345,7
1348,3
1358,1
1361,8
1364,6
1373,8
1377,6
1378,8
1380,6
1382,2
1383,2
1386,7
1387,1
1390,7
1395,8
1398,6
1402,6
1403,8
1405,8
1407,8
1410,1
1412,2
1419,6
1426,7
1428,7
1436,1
1437,2
1438,1
1441,8
1444,1
1448,1
1454,5
1457,5
1459,8
1463,8
1467,4
1471,7
1475,5
1476,4
1480,7
1481,3
1482,5
1489,1
1491,8
1494,8
1496,8
1500,8
1501,8
1503,6
1504,2
1505,3
1515,5
1517,6
1520,6
1521,4
1523,8
1526,8
1529,2
1530,5
1543,2
1544,8
1547,6
1550,8
1552,1
1554,7
1563,7
1574,8
1575,7
1576,2
1579,1
1582,6
1584,8
1585,8
1589,6
1596,7
1598,2
1611,8
1613,6
1615,7
1618,5
1627,6
1630,3
1638,1
1639,7
1640,8
1642,8
1645,6
1648,7
1654,7
1661,8
1662,6
1663,8
1666,1
1668,5
1670,4
1672,8
1681,2
1682,8
1683,2
1687,8
1688,8
1693,1
1694,7
1700,8
1704,7
1712,8
1716,8
1717,5
1722,7
1724,6
1738,2
1739,2
1740,8
1761,8
1763,8
1765,8
1766,7
1767,8
1771,6
1772,6
1777,8
1784,1
1799,7
1806,8
1810,6
1812,8
1814,3
1818,7
1819,7
1822,5
1823,8
1824,2
1834,5
1835,8
1844,7
1848,6
1849,8
1850,8
1851,1
1856,1
1862,5
1863,5
1872,7
1874,6
1875,8
1877,8
1900,6
1902,1
1904,1
1905,6
1908,8
1914,8
1916,4
1922,5
1933,7
1934,6
1939,6
1942,7
1947,8
1957,8
1971,8
1973,7
1974,6
1977,7
1981,6
1985,8
1987,6
1989,7
2001,5
2002,5
2007,6
2008,8
2011,7
2021,7
2034,6
2040,8
2044,4
2045,8
2048,7
2051,8
2062,6
2066,3
2068,8
2069,5
2074,8
2075,8
2078,8
2079,1
2080,7
2081,6
2084,1
2085,1
2087,1
2096,6
2102,6
2103,2
2107,8
2117,6
2118,2
2120,7
2121,2
2122,1
2130,8
2136,5
2138,8
2140,7
2143,7
2144,7
2145,6
2147,8
2150,3
2154,8
2155,6
2166,5
2169,1
2173,6
2176,1
2178,8
2179,1
2180,1
2184,8
2185,8
2188,7
2190,8
2194,7
2195,8
2198,1
2205,8
2206,8
2207,6
2212,7
2213,6
2216,8
2218,6
2224,8
2225,8
2228,8
2236,8
2242,8
2246,6
2250,7
2255,6
2256,1
2267,1
2268,6
2269,8
2272,6
2275,2
2280,8
2282,8
2287,8
2289,8
2293,8
2296,8
2307,7
2309,2
2313,2
2325,7
2327,8
2336,2
2339,6
2342,8
2347,8
2350,4
2360,6
2364,8
2369,6
2379,1
2394,6
2395,6
2399,8
2402,6
2410,8
2416,8
2420,8
2427,6
2434,8
2435,8
2441,2
2447,6
2452,6
2463,7
2467,2
2468,8
2470,8
2476,2
2483,2
2487,1
2492,8
2502,2
2504,1
2510,7
2511,2
2512,8
2517,8
2520,2
2521,8
2523,6
2524,6
2525,6
2526,7
2528,8
2530,5
2532,6
2536,5
2540,7
2541,2
2543,7
2549,8
2550,1
2556,5
2557,2
2559,6
2565,8
2566,8
2567,1
2568,5
2570,8
2573,8
2577,5
2578,8
2583,2
2586,5
2587,2
2588,8
2591,8
2597,7
2606,7
2607,8
2608,8
2611,1
2612,7
2613,8
2616,8
2621,8
2622,7
2634,8
2639,8
2642,1
