Id,Response
2,7
5,4
6,8
7,8
8,8
10,7
11,8
14,7
15,8
16,7
17,7
18,4
19,7
20,3
22,8
23,7
24,7
25,8
26,3
27,8
29,8
31,7
32,3
33,8
34,7
35,4
37,7
39,8
40,7
41,7
42,4
44,7
46,4
47,7
49,1
52,7
53,8
56,4
57,1
58,1
60,1
61,7
64,5
65,7
67,7
68,4
70,7
71,7
72,8
73,8
74,8
75,8
76,4
77,3
78,7
79,4
80,7
81,4
85,8
87,7
88,7
91,7
93,3
94,8
95,8
96,7
97,7
99,8
101,4
102,4
103,3
104,8
106,7
107,4
108,7
109,7
110,8
111,7
112,7
113,5
114,7
116,4
117,7
118,4
120,7
121,8
122,4
123,7
125,4
126,8
128,7
129,7
130,1
131,8
132,4
134,7
135,7
136,3
137,7
138,8
139,7
142,7
144,8
145,8
146,8
147,1
148,3
149,8
150,5
152,7
153,8
155,6
156,8
158,8
159,3
160,8
161,7
162,7
164,7
165,3
167,4
169,8
171,8
172,3
174,7
175,8
176,7
177,8
178,4
179,3
181,4
183,8
186,7
187,8
188,7
189,8
190,4
191,7
192,8
193,7
194,4
198,7
199,7
200,7
201,8
202,3
203,7
204,8
205,8
206,3
207,7
208,7
209,1
210,4
211,3
214,2
215,7
216,7
217,6
218,1
220,4
221,7
222,8
223,7
224,8
226,7
228,1
229,7
230,8
231,3
233,7
234,8
235,7
236,4
237,8
238,7
240,4
241,8
242,7
243,8
244,8
245,4
246,8
248,8
249,3
250,3
252,7
253,7
255,7
256,2
257,4
258,2
259,1
260,8
262,7
263,7
265,7
266,8
268,8
269,7
270,8
271,7
273,7
274,8
276,7
278,4
279,8
280,7
281,7
282,2
285,7
286,4
288,7
289,7
290,8
292,8
295,8
296,4
297,5
298,8
299,1
300,2
301,8
302,1
303,7
304,4
306,1
308,4
310,3
312,7
313,8
314,4
315,8
316,1
317,8
318,8
319,7
320,1
321,7
324,7
325,8
327,1
328,7
329,4
331,4
332,8
333,7
334,8
336,2
339,8
340,8
342,8
343,3
344,8
345,6
347,8
349,8
350,7
351,8
353,2
354,8
355,7
357,2
359,7
360,7
361,7
362,7
363,7
364,4
365,8
367,7
368,8
370,7
371,8
372,7
374,7
376,8
377,3
378,7
379,7
380,7
382,7
383,8
385,4
387,4
388,7
389,7
390,7
391,8
392,4
393,7
394,7
395,8
398,4
400,7
401,7
402,7
403,7
404,8
406,7
407,8
408,8
409,7
410,8
411,8
413,8
414,4
415,7
416,7
418,8
419,8
420,1
422,3
423,1
424,8
426,4
428,4
429,3
431,7
434,7
435,4
437,1
439,4
440,7
443,7
445,7
447,4
449,7
451,8
452,7
453,3
455,3
456,8
457,7
458,2
459,7
460,4
461,1
462,1
463,4
464,7
466,4
467,8
468,8
469,1
471,7
473,1
474,8
476,1
477,8
478,4
479,7
480,2
481,4
482,2
483,8
485,7
486,1
487,8
488,8
489,4
490,8
491,3
492,7
493,3
494,3
496,7
499,8
500,4
503,7
504,1
506,1
507,8
508,7
509,7
510,7
511,3
512,8
513,7
514,8
517,3
518,4
519,8
520,4
521,4
522,7
523,4
524,8
525,4
526,2
