Id,Response
2,8
5,4
6,8
7,8
8,8
10,8
11,8
14,6
15,8
16,5
17,6
18,6
19,7
20,6
22,8
23,5
24,8
25,8
26,6
27,8
29,8
31,6
32,5
33,8
34,8
35,7
37,8
39,8
40,6
41,6
42,8
44,7
46,7
47,2
49,1
52,7
53,8
56,8
57,1
58,2
60,8
61,7
64,2
65,7
67,6
68,1
70,6
71,6
72,5
73,8
74,8
75,8
76,6
77,1
78,8
79,5
80,6
81,6
85,8
87,6
88,7
91,8
93,6
94,2
95,8
96,2
97,8
99,8
101,6
102,6
103,1
104,8
106,2
107,8
108,6
109,7
110,8
111,8
112,7
113,8
114,6
116,6
117,7
118,6
120,2
121,8
122,8
123,2
125,6
126,8
128,8
129,5
130,1
131,8
132,8
134,6
135,6
136,5
137,8
138,8
139,1
142,5
144,8
145,8
146,8
147,6
148,5
149,8
150,2
152,6
153,8
155,6
156,8
158,8
159,6
160,2
161,8
162,5
164,1
165,6
167,6
169,8
171,8
172,2
174,6
175,8
176,5
177,8
178,4
179,5
181,5
183,8
186,2
187,8
188,8
189,8
190,6
191,7
192,8
193,8
194,6
198,7
199,6
200,8
201,8
202,2
203,5
204,8
205,6
206,5
207,1
208,6
209,2
210,7
211,6
214,6
215,8
216,8
217,6
218,7
220,4
221,8
222,8
223,7
224,8
226,2
228,1
229,6
230,8
231,5
233,8
234,8
235,5
236,6
237,8
238,8
240,8
241,8
242,8
243,8
244,8
245,6
246,6
248,8
249,6
250,5
252,5
253,7
255,8
256,2
257,4
258,2
259,8
260,8
262,6
263,5
265,8
266,4
268,8
269,8
270,8
271,8
273,8
274,8
276,7
278,8
279,8
280,7
281,7
282,6
285,6
286,8
288,8
289,5
290,8
292,8
295,8
296,6
297,5
298,8
299,1
300,2
301,8
302,1
303,7
304,6
306,1
308,6
310,1
312,6
313,8
314,8
315,8
316,1
317,8
318,8
319,8
320,2
321,8
324,5
325,8
327,7
328,8
329,6
331,6
332,8
333,8
334,8
336,2
339,8
340,8
342,8
343,5
344,8
345,6
347,8
349,8
350,2
351,8
353,2
354,8
355,8
357,2
359,8
360,6
361,7
362,8
363,7
364,6
365,8
367,7
368,8
370,8
371,8
372,5
374,8
376,8
377,5
378,5
379,8
380,1
382,8
383,8
385,6
387,8
388,8
389,1
390,2
391,8
392,8
393,6
394,2
395,8
398,6
400,8
401,6
402,8
403,8
404,2
406,7
407,8
408,8
409,8
410,8
411,8
413,8
414,6
415,8
416,8
418,8
419,8
420,8
422,5
423,1
424,8
426,6
428,4
429,5
431,8
434,6
435,8
437,8
439,6
440,6
443,1
445,8
447,8
449,6
451,8
452,7
453,2
455,1
456,8
457,7
458,6
459,8
460,6
461,1
462,1
463,6
464,7
466,8
467,8
468,8
469,1
471,1
473,2
474,8
476,1
477,8
478,8
479,7
480,2
481,1
482,8
483,8
485,7
486,6
487,8
488,6
489,8
490,8
491,6
492,7
493,5
494,1
496,8
499,8
500,6
503,8
504,8
506,8
507,8
508,8
509,7
510,8
511,5
512,8
513,5
514,8
517,8
518,6
519,8
520,7
521,6
522,8
523,6
524,8
525,5
526,7
528,1
530,6
532,6
534,8
535,8
536,7
538,8
539,8
540,5
542,8
543,1
544,8
545,1
547,6
551,7
552,6
554,8
555,8
556,6
557,6
558,6
560,1
562,8
563,1
565,6
566,6
567,8
568,8
569,2
570,8
571,7
572,8
573,2
575,6
576,1
577,6
581,7
583,8
585,8
586,6
587,8
589,5
590,8
591,6
592,8
593,2
594,6
595,6
597,8
598,7
599,8
600,8
601,1
604,2
605,6
606,8
607,2
608,6
609,8
610,2
611,8
612,2
615,2
616,8
617,8
618,8
621,8
622,8
623,6
626,8
627,6
629,8
631,6
632,8
633,8
634,6
638,6
639,7
640,7
642,1
643,5
645,1
646,8
647,8
649,6
650,8
651,7
652,7
653,8
655,8
656,5
657,1
659,6
660,7
661,5
662,8
663,6
665,8
668,4
669,8
671,6
673,8
675,5
677,6
678,1
679,6
680,6
681,8
682,7
683,6
686,5
687,2
688,8
689,5
690,6
691,2
692,8
695,2
696,8
697,6
698,7
699,8
701,6
704,6
706,3
707,8
708,8
709,8
710,8
712,2
713,2
714,7
715,6
716,6
717,8
719,8
720,8
721,8
723,1
724,8
725,8
728,8
729,7
730,2
731,5
733,8
734,8
736,8
737,7
738,5
739,8
741,1
742,6
743,8
744,7
745,8
746,7
747,8
749,1
752,8
753,8
754,5
755,6
757,7
758,2
759,6
760,6
761,7
763,8
764,5
765,8
767,8
768,7
769,2
772,5
773,6
774,8
775,8
776,6
777,5
778,8
780,8
781,6
783,6
785,8
786,7
787,8
788,5
789,7
790,6
791,8
792,2
794,4
795,7
796,8
797,8
799,6
802,6
803,8
804,6
806,6
808,2
809,6
810,8
811,8
812,2
814,6
815,1
816,8
817,8
818,8
821,7
824,1
825,8
826,2
827,2
828,2
829,8
830,1
831,8
832,8
835,2
836,8
837,8
838,8
839,8
840,8
841,6
843,8
844,8
846,6
847,8
848,6
849,8
850,6
851,8
852,5
853,2
854,8
855,2
857,8
858,8
859,7
861,1
862,2
863,7
865,4
866,1
867,1
868,8
870,8
871,8
873,8
874,8
875,8
876,8
879,8
880,8
881,7
882,6
883,6
884,7
885,8
886,8
887,7
888,8
889,1
890,8
891,6
892,6
895,8
897,5
898,8
901,5
902,8
903,8
904,2
905,7
906,8
907,8
908,8
909,1
910,8
912,8
913,6
915,3
916,1
918,8
920,8
921,8
922,7
924,6
927,8
928,8
929,1
930,6
931,6
932,2
933,8
935,5
936,6
937,8
939,7
941,8
942,6
943,5
944,8
945,8
946,6
947,2
948,8
949,8
950,6
951,2
952,2
953,3
954,8
957,1
958,6
959,8
960,4
961,7
962,5
963,8
964,5
965,7
966,1
967,8
968,8
969,8
970,8
972,1
974,8
975,8
976,7
977,1
980,8
982,6
983,8
984,8
985,8
986,8
987,8
989,7
991,8
993,6
994,8
995,8
998,6
1001,3
1002,8
1003,5
1004,8
1005,6
1007,8
1008,1
1010,2
1011,8
1012,8
1013,7
1014,8
1015,6
1016,8
1017,5
1019,6
1020,5
1021,8
1022,7
1023,8
1024,8
1026,1
1027,8
1028,6
1029,8
1030,8
1031,8
1032,8
1033,8
1034,8
1035,6
1036,8
1037,8
1039,2
1040,6
1041,6
1043,8
1044,8
1048,8
1049,8
1051,8
1053,5
1055,5
1056,8
1058,6
1059,8
1060,6
1062,7
1063,8
1064,8
1065,8
1066,8
1067,6
1068,2
1070,1
1072,8
1076,8
1077,8
1078,6
1079,8
1080,8
1081,8
1082,2
1085,6
1086,6
1087,8
1088,8
1090,8
1091,8
1092,8
1093,6
1094,6
1095,5
1096,6
1097,8
1098,8
1100,6
1101,2
1102,8
1104,5
1105,2
1106,6
1107,8
1108,6
1109,6
1111,6
1112,8
1113,8
1114,1
1115,8
1116,8
1117,7
1118,2
1119,6
1120,8
1121,1
1122,8
1124,8
1125,8
1126,6
1127,7
1128,6
1129,8
1131,8
1132,2
1133,8
1134,8
1136,8
1138,8
1139,8
1140,1
1141,8
1142,7
1143,8
1144,5
1146,8
1148,8
1149,8
1150,5
1151,6
1155,5
1156,1
1157,8
1159,8
1160,8
1161,8
1162,8
1163,8
1164,2
1165,8
1167,8
1168,1
1169,8
1171,6
1173,2
1174,8
1175,8
1176,8
1177,6
1180,8
1184,8
1185,1
1186,8
1187,8
1188,6
1189,1
1190,7
1193,7
1194,5
1195,1
1196,7
1197,8
1198,8
1199,6
1201,6
1202,8
1203,8
1204,8
1206,8
1210,8
1211,8
1212,8
1213,8
1214,8
1215,8
1216,8
1218,1
1219,2
1220,1
1221,6
1222,1
1224,6
1227,8
1229,6
1231,6
1233,6
1234,7
1236,6
1238,1
1239,5
1240,8
1241,2
1242,8
1243,6
1244,8
1245,8
1246,6
1247,8
1248,8
1249,6
1250,8
1251,8
1252,2
1253,8
1254,8
1255,6
1256,8
1258,8
1259,6
1260,8
1261,1
1262,2
1263,6
1264,1
1265,1
1268,4
1269,6
1270,7
1271,6
1272,7
1273,1
1275,8
1276,8
1279,1
1281,7
1283,8
1284,8
1285,8
1286,8
1287,2
1288,3
1289,8
1290,6
1291,8
1292,1
1295,5
1296,8
1297,6
1298,8
1299,8
1300,6
1301,6
1302,8
1303,8
1304,7
1307,8
1308,8
1309,7
1310,6
1312,8
1313,8
1314,2
1315,6
1316,1
1317,8
1319,8
1321,8
1322,8
1324,8
1326,8
1327,8
1329,2
1330,2
1331,6
1332,1
1333,8
1334,6
1335,2
1337,2
1338,6
1339,2
1342,8
1343,7
1346,8
1347,4
1349,8
1350,8
1351,5
1352,7
1353,8
1354,1
1355,6
1356,8
1357,1
1359,6
1360,8
1362,5
1363,8
1365,8
1366,8
1367,8
1368,8
1369,2
1370,8
1371,8
1372,8
1374,8
1375,1
1376,8
1379,8
1381,6
1384,6
1385,8
1388,1
1389,5
1391,8
1392,5
1393,8
1394,6
1396,6
1397,8
1399,2
1400,6
1401,2
1404,8
1406,8
1408,6
1409,1
1411,7
1413,7
1414,8
1415,4
1416,1
1417,8
1418,8
1420,6
1421,8
1422,8
1423,6
1424,1
1425,6
1427,8
1429,1
1430,2
1431,6
1432,6
1433,8
1434,7
1435,8
1439,8
1440,8
1442,8
1443,6
1445,1
1446,7
1447,8
1449,8
1450,5
1451,8
1452,1
1453,8
1455,8
1456,5
1458,8
1460,2
1461,8
1462,8
1464,5
1465,6
1466,6
1468,8
1469,7
1470,8
1472,6
1473,6
1474,8
1477,6
1478,8
1479,8
1483,8
1484,5
1485,8
1486,6
1487,6
1488,8
1490,6
1492,8
1493,7
1495,6
1497,8
1498,7
1499,6
1502,2
1506,8
1507,7
1508,8
1509,7
1510,8
1511,8
1512,6
1513,8
1514,8
1516,8
1518,8
1519,1
1522,6
1524,6
1525,7
1527,8
1528,5
1531,2
1532,8
1533,6
1534,8
1535,8
1536,8
1537,5
1538,2
1539,7
1540,1
1541,8
1542,7
1545,1
1546,6
1548,8
1549,8
1551,8
1553,6
1555,7
1556,6
1557,5
1558,8
1559,8
1560,8
1561,8
1562,8
1564,8
1565,5
1566,6
1567,8
1568,8
1569,5
1570,5
1571,8
1572,6
1573,8
1577,8
1578,6
1580,8
1581,8
1583,8
1586,8
1587,8
1588,8
1590,5
1591,1
1592,7
1593,6
1594,8
1595,8
1597,1
1599,8
1600,1
1601,7
1602,8
1603,8
1604,8
1605,8
1606,8
1607,5
1608,8
1609,8
1610,6
1612,1
1614,1
1616,8
1617,8
1619,7
1620,8
1621,6
1622,5
1623,8
1624,6
1625,8
1626,4
1628,8
1629,6
1631,6
1632,8
1633,6
1634,7
1635,6
1636,8
1637,2
1641,7
1643,6
1644,8
1646,8
1647,8
1649,1
1650,8
1651,8
1652,7
1653,8
1655,6
1656,8
1657,6
1658,4
1659,4
1660,7
1664,5
1665,8
1667,8
1669,6
1671,1
1673,1
1674,6
1675,8
1676,1
1677,6
1678,6
1679,2
1680,8
1684,6
1685,8
1686,8
1689,1
1690,2
1691,6
1692,7
1695,4
1696,8
1697,6
1698,8
1699,2
1701,6
1702,3
1703,6
1705,8
1706,8
1707,8
1708,6
1709,8
1710,2
1711,8
1713,8
1714,8
1715,2
1718,8
1719,2
1720,6
1721,8
1723,1
1725,8
1726,8
1727,8
1728,6
1729,8
1730,5
1731,8
1732,8
1733,4
1734,1
1735,7
1736,1
1737,7
1741,8
1742,8
1743,5
1744,8
1745,8
1746,8
1747,6
1748,8
1749,6
1750,4
1751,5
1752,6
1753,8
1754,6
1755,6
1756,8
1757,8
1758,8
1759,8
1760,1
1762,8
1764,6
1768,8
1769,7
1770,8
1773,2
1774,6
1775,8
1776,8
1778,8
1779,7
1780,1
1781,1
1782,8
1783,1
1785,8
1786,6
1787,6
1788,8
1789,8
1790,1
1791,7
1792,5
1793,7
1794,8
1795,4
1796,6
1797,7
1798,8
1800,8
1801,7
1802,6
1803,5
1804,8
1805,1
1807,6
1808,8
1809,4
1811,8
1813,8
1815,7
1816,1
1817,8
1820,2
1821,5
1825,8
1826,5
1827,2
1828,6
1829,8
1830,8
1831,8
1832,8
1833,1
1836,6
1837,2
1838,3
1839,8
1840,8
1841,6
1842,8
1843,4
1845,7
1846,1
1847,6
1852,8
1853,8
1854,8
1855,1
1857,7
1858,6
1859,7
1860,8
1861,6
1864,8
1865,7
1866,8
1867,1
1868,8
1869,8
1870,1
1871,6
1873,8
1876,8
1878,7
1879,8
1880,8
1881,6
1882,8
1883,6
1884,7
1885,1
1886,5
1887,8
1888,6
1889,6
1890,6
1891,8
1892,8
1893,2
1894,7
1895,6
1896,7
1897,8
1898,6
1899,8
1901,1
1903,5
1906,5
1907,7
1909,6
1910,8
1911,8
1912,8
1913,7
1915,8
1917,2
1918,8
1919,6
1920,1
1921,8
1923,8
1924,6
1925,6
1926,5
1927,1
1928,8
1929,8
1930,8
1931,2
1932,7
1935,8
1936,6
1937,6
1938,6
1940,7
1941,8
1943,8
1944,6
1945,2
1946,8
1948,6
1949,6
1950,8
1951,6
1952,6
1953,2
1954,8
1955,8
1956,7
1958,2
1959,1
1960,8
1961,6
1962,8
1963,8
1964,8
1965,6
1966,8
1967,6
1968,8
