Id,Response
2,7
5,7
6,6
7,8
8,6
10,6
11,7
14,5
15,7
16,5
17,5
18,5
19,7
20,3
22,7
23,4
24,6
25,6
26,4
27,8
29,7
31,6
32,5
33,6
34,5
35,6
37,6
39,7
40,6
41,7
42,7
44,5
46,6
47,4
49,4
52,6
53,7
56,6
57,1
58,3
60,5
61,5
64,2
65,5
67,4
68,5
70,5
71,5
72,6
73,6
74,5
75,5
76,5
77,4
78,6
79,5
80,6
81,5
85,7
87,4
88,5
91,6
93,4
94,7
95,8
96,5
97,6
99,6
101,6
102,5
103,4
104,8
106,6
107,6
108,6
109,5
110,8
111,7
112,5
113,7
114,5
116,5
117,5
118,6
120,3
121,7
122,6
123,3
125,5
126,7
128,6
129,5
130,3
131,6
132,6
134,5
135,7
136,5
137,7
138,7
139,4
142,5
144,6
145,7
146,7
147,5
148,3
149,6
150,2
152,7
153,7
155,2
156,6
158,6
159,3
160,5
161,6
162,4
164,3
165,6
167,5
169,8
171,7
172,5
174,6
175,7
176,4
177,7
178,6
179,3
181,5
183,7
186,3
187,7
188,7
189,7
190,7
191,6
192,6
193,4
194,7
198,4
199,4
200,7
201,6
202,4
203,5
204,7
205,6
206,4
207,4
208,6
209,4
210,5
211,5
214,6
215,7
216,6
217,7
218,5
220,6
221,7
222,7
223,6
224,7
226,4
228,2
229,5
230,7
231,4
233,7
234,5
235,5
236,6
237,7
238,5
240,7
241,6
242,5
243,7
244,7
245,7
246,6
248,5
249,3
250,4
252,5
253,7
255,7
256,5
257,5
258,2
259,5
260,6
262,6
263,5
265,6
266,6
268,8
269,7
270,6
271,6
273,7
274,6
276,5
278,6
279,7
280,6
281,5
282,7
285,6
286,6
288,6
289,3
290,8
292,7
295,5
296,7
297,2
298,7
299,2
300,5
301,7
302,5
303,4
304,5
306,5
308,7
310,5
312,6
313,7
314,5
315,6
316,2
317,6
318,6
319,6
320,2
321,5
324,5
325,7
327,6
328,6
329,6
331,6
332,6
333,6
334,7
336,5
339,8
340,8
342,6
343,3
344,8
345,4
347,7
349,6
350,3
351,7
353,4
354,7
355,6
357,2
359,6
360,4
361,5
362,6
363,5
364,6
365,7
367,4
368,7
370,6
371,7
372,5
374,6
376,6
377,3
378,5
379,7
380,5
382,7
383,7
385,6
387,6
388,6
389,5
390,2
391,7
392,6
393,5
394,3
395,7
398,6
400,6
401,5
402,7
403,6
404,4
406,6
407,7
408,6
409,7
410,7
411,7
413,6
414,6
415,7
416,5
418,7
419,7
420,6
422,5
423,3
424,6
426,5
428,7
429,3
431,7
434,4
435,5
437,7
439,5
440,6
443,6
445,7
447,6
449,3
451,7
452,5
453,4
455,2
456,7
457,5
458,4
459,6
460,6
461,4
462,4
463,6
464,6
466,5
467,7
468,8
469,4
471,5
473,4
474,8
476,5
477,8
478,6
479,5
480,4
481,5
482,6
483,7
485,5
486,5
487,6
488,7
489,6
490,8
491,4
492,5
493,5
494,3
496,6
499,7
500,4
503,7
504,6
506,6
507,6
508,7
509,5
510,7
511,3
512,7
513,5
514,7
517,5
518,5
519,7
520,7
521,5
522,5
523,5
524,5
525,5
