Id,Response
1,1
3,8
4,6
9,6
12,8
13,8
21,6
28,8
30,8
36,8
38,8
43,8
45,4
48,8
50,8
51,8
54,8
55,8
59,8
62,5
63,8
66,8
69,8
82,8
83,6
84,8
86,8
89,8
90,5
92,8
98,8
100,6
105,8
115,8
119,3
124,4
127,8
133,8
140,6
141,8
143,6
151,1
154,8
157,8
163,5
166,3
168,8
170,4
173,8
180,6
182,8
184,1
185,8
195,8
196,8
197,8
212,8
213,8
219,8
225,1
227,1
232,6
239,8
247,6
251,8
254,6
261,8
264,6
267,8
272,8
275,8
277,1
283,8
284,1
287,8
291,8
293,8
294,6
305,8
307,1
309,8
311,5
322,1
323,4
326,8
330,6
335,8
337,8
338,8
341,1
346,1
348,1
352,4
356,8
358,1
366,1
369,6
373,6
375,8
381,6
384,8
386,1
396,8
397,5
399,6
405,8
412,8
417,5
421,6
425,8
427,8
430,5
432,6
433,8
436,8
438,8
441,8
442,8
444,8
446,8
448,8
450,8
454,8
465,8
470,7
472,6
475,8
484,8
495,8
497,8
498,8
501,1
502,1
505,8
515,1
516,1
527,8
529,5
531,8
533,8
537,6
541,8
546,8
548,8
549,8
550,8
553,8
559,5
561,5
564,5
574,5
578,8
579,6
580,8
582,6
584,8
588,1
596,6
602,1
603,5
613,8
614,6
619,8
620,8
624,5
625,8
628,6
630,6
635,8
636,1
637,8
641,8
644,8
648,8
654,8
658,1
664,8
666,8
667,8
670,8
672,7
674,8
676,8
684,8
685,6
693,1
694,8
700,4
702,6
703,6
705,8
711,8
718,1
722,8
726,8
727,6
732,8
735,8
740,1
748,8
750,8
751,8
756,8
762,7
766,8
770,8
771,1
779,8
782,1
784,8
793,8
798,6
800,6
801,7
805,7
807,1
813,8
819,8
820,8
822,8
823,8
833,8
834,6
842,4
845,8
856,8
860,6
864,6
869,8
872,8
877,6
878,8
893,8
894,8
896,8
899,8
900,8
911,5
914,8
917,1
919,8
923,5
925,1
926,1
934,8
938,8
940,8
955,6
956,8
971,7
973,8
978,8
979,8
981,8
988,8
990,8
992,1
996,8
997,8
999,8
1000,8
1006,8
1009,6
1018,6
1025,6
1038,8
1042,8
1045,6
1046,8
1047,1
1050,6
1052,8
1054,8
1057,8
1061,4
1069,5
1071,7
1073,6
1074,8
1075,1
1083,8
1084,1
1089,1
1099,8
1103,6
1110,8
1123,8
1130,8
1135,8
1137,8
1145,8
1147,6
1152,8
1153,1
1154,8
1158,8
1166,8
1170,8
1172,6
1178,1
1179,8
1181,6
1182,8
1183,8
1191,8
1192,8
1200,1
1205,8
1207,8
1208,6
1209,6
1217,5
1223,8
1225,8
1226,1
1228,1
1230,6
1232,8
1235,8
1237,8
1257,8
1266,1
1267,6
1274,8
1277,8
1278,1
1280,8
1282,8
1293,6
1294,4
1305,8
1306,8
1311,8
1318,5
1320,8
1323,8
1325,6
1328,6
1336,5
1340,8
1341,8
1344,6
1345,8
1348,4
1358,1
1361,8
1364,6
1373,8
1377,6
1378,8
1380,8
1382,8
1383,8
1386,8
1387,1
1390,1
1395,8
1398,8
1402,6
1403,8
1405,8
1407,8
1410,1
1412,1
1419,1
1426,8
1428,8
1436,6
1437,6
1438,1
1441,8
1444,5
1448,1
1454,8
1457,8
1459,8
1463,8
1467,4
1471,6
1475,8
1476,1
1480,8
1481,3
1482,8
1489,8
1491,8
1494,8
1496,8
1500,8
1501,8
1503,6
1504,5
1505,4
1515,5
1517,8
1520,5
1521,4
1523,8
1526,8
1529,5
1530,1
1543,6
1544,8
1547,8
1550,8
1552,8
1554,6
1563,8
1574,8
1575,8
1576,1
1579,6
1582,1
1584,8
1585,8
1589,7
1596,8
1598,5
1611,8
1613,5
1615,6
1618,6
1627,7
1630,6
1638,8
1639,8
1640,8
1642,8
1645,1
1648,6
1654,6
1661,8
1662,6
1663,8
1666,6
1668,5
1670,4
1672,8
1681,6
1682,8
1683,6
1687,8
1688,8
1693,8
1694,8
1700,8
1704,8
1712,8
1716,8
1717,8
1722,7
1724,6
1738,5
1739,5
1740,8
1761,8
1763,5
1765,8
1766,8
1767,8
1771,6
1772,8
1777,8
1784,6
1799,1
1806,8
1810,5
1812,8
1814,6
1818,6
1819,8
1822,5
1823,8
1824,6
1834,5
1835,6
1844,6
1848,6
1849,8
1850,1
1851,6
1856,1
1862,1
1863,8
1872,6
1874,1
1875,8
1877,5
1900,8
1902,8
1904,6
1905,1
1908,8
1914,8
1916,6
1922,1
1933,8
1934,6
1939,8
1942,6
1947,8
1957,8
1971,8
1973,2
1974,6
1977,8
1981,6
1985,8
1987,6
1989,8
2001,5
2002,1
2007,1
2008,8
2011,6
2021,7
2034,8
2040,8
2044,4
2045,8
2048,8
2051,8
2062,8
2066,1
2068,1
2069,6
2074,8
2075,8
2078,8
2079,2
2080,1
2081,6
2084,5
2085,8
2087,8
2096,4
2102,8
2103,1
2107,8
2117,5
2118,5
2120,6
2121,5
2122,6
2130,8
2136,6
2138,8
2140,8
2143,8
2144,8
2145,8
2147,8
2150,6
2154,8
2155,6
2166,5
2169,1
2173,6
2176,1
2178,8
2179,6
2180,8
2184,8
2185,8
2188,6
2190,8
2194,8
2195,8
2198,8
2205,8
2206,8
2207,1
2212,7
2213,8
2216,8
2218,5
2224,8
2225,8
2228,8
2236,8
2242,8
2246,6
2250,8
2255,8
2256,8
2267,6
2268,8
2269,1
2272,6
2275,8
2280,8
2282,8
2287,8
2289,8
2293,8
2296,8
2307,8
2309,8
2313,8
2325,8
2327,8
2336,1
2339,8
2342,8
2347,8
2350,4
2360,8
2364,8
2369,5
2379,1
2394,8
2395,1
2399,8
2402,8
2410,8
2416,8
2420,8
2427,8
2434,8
2435,8
2441,8
2447,8
2452,6
2463,7
2467,8
2468,8
2470,8
2476,6
2483,6
2487,1
2492,8
2502,8
2504,1
2510,8
2511,5
2512,8
2517,8
2520,8
2521,8
2523,8
2524,6
2525,8
2526,6
2528,8
2530,5
2532,5
2536,5
2540,8
2541,8
2543,6
2549,8
2550,3
2556,5
2557,8
2559,8
2565,8
2566,8
2567,1
2568,5
2570,8
2573,8
2577,8
2578,8
2583,6
2586,6
2587,5
2588,8
2591,8
2597,8
2606,6
2607,8
2608,8
2611,5
2612,8
2613,8
2616,8
2621,8
2622,8
2634,8
2639,8
2642,1
2644,5
2650,6
2655,8
2664,8
2667,8
2670,7
2679,1
2681,8
2683,8
2685,8
2687,8
2696,6
2699,7
2712,5
2716,8
2720,8
2725,8
2726,8
2731,5
2733,5
2740,8
2742,8
2748,8
2749,8
2763,8
2771,8
2772,8
2773,8
2783,8
2784,8
2789,1
2796,6
2798,8
2799,8
2800,8
2802,8
2805,6
2809,8
2816,8
2817,6
2821,8
2822,8
2829,8
2832,6
2842,7
2844,7
2846,8
2851,6
2852,8
2853,8
2856,8
2862,6
2866,6
2868,1
2886,8
2892,6
2893,4
2898,8
2917,1
2923,6
2927,8
2930,8
2931,5
2935,8
2936,6
2961,1
2964,8
2967,8
2968,8
2970,8
2977,6
2978,8
2979,8
2985,1
2986,3
2989,8
2997,8
2999,8
3004,8
3008,8
3010,6
3020,8
3022,8
3024,8
3027,8
3032,8
3033,8
3048,5
3053,7
3056,8
3070,8
3071,8
3073,8
3080,8
3098,8
3099,1
3109,8
3110,8
3115,2
3121,8
3128,8
3132,1
3133,1
3141,8
3144,6
3145,5
3154,8
3159,8
3164,6
3168,1
3172,5
3176,8
3186,8
3193,1
3196,8
3199,1
