,0,names
0,0.24455329350142746,Product_Info_4
1,-0.1045245601605948,Ins_Age
2,0.2474459949565239,Ht
3,-0.558583017301168,Wt
4,-0.20201725875210574,BMI
5,2.615693607127545e-07,Employment_Info_1
6,-0.018538400754061143,Employment_Info_4
7,0.0345290302910147,Employment_Info_6
8,-0.015613925428041492,Insurance_History_5
9,0.1304537301478082,Family_Hist_2
10,0.09873548598175712,Family_Hist_3
11,0.1420658489211613,Family_Hist_4
12,0.09276609796555352,Family_Hist_5
13,-0.018100540042767718,Medical_Keyword_1
14,0.014083843455358465,Medical_Keyword_2
15,-0.38808903219541935,Medical_Keyword_3
16,-0.026391511142478143,Medical_Keyword_4
17,-0.007600810326812502,Medical_Keyword_5
18,0.007272765282695812,Medical_Keyword_6
19,0.015043245252548952,Medical_Keyword_7
20,0.005244132980345489,Medical_Keyword_8
21,-0.06837640961710761,Medical_Keyword_9
22,-0.006647314676021709,Medical_Keyword_10
23,-0.01667826776209485,Medical_Keyword_11
24,-0.03607526810252988,Medical_Keyword_12
25,-0.0008875319956416806,Medical_Keyword_13
26,-0.004881996254377933,Medical_Keyword_14
27,-0.21154587727211704,Medical_Keyword_15
28,-0.06792267620785256,Medical_Keyword_16
29,-0.032393719132535435,Medical_Keyword_17
30,-0.04516634878981217,Medical_Keyword_18
31,-0.03626435908423484,Medical_Keyword_19
32,0.010556831445671142,Medical_Keyword_20
33,-0.003974700721696227,Medical_Keyword_21
34,0.028684813876572138,Medical_Keyword_22
35,-0.1886901542366194,Medical_Keyword_23
36,-0.025910796158012336,Medical_Keyword_24
37,0.019488091461271506,Medical_Keyword_25
38,0.02269335662954037,Medical_Keyword_26
39,-0.009519008871306217,Medical_Keyword_27
40,0.02222428491165833,Medical_Keyword_28
41,0.01631289810979024,Medical_Keyword_29
42,-0.04315200780497948,Medical_Keyword_30
43,-0.042246456697039005,Medical_Keyword_31
44,0.021592388295319384,Medical_Keyword_32
45,0.0198313905297374,Medical_Keyword_33
46,-0.04400384118103469,Medical_Keyword_34
47,-0.04168353563468827,Medical_Keyword_35
48,-0.017874979126184153,Medical_Keyword_36
49,-0.09162563022139064,Medical_Keyword_37
50,-0.1397467620056962,Medical_Keyword_38
51,0.008109019437070052,Medical_Keyword_39
52,-0.14149609266185173,Medical_Keyword_40
53,0.017935491912272394,Medical_Keyword_41
54,-0.13030811824922509,Medical_Keyword_42
55,-0.024184246753383078,Medical_Keyword_43
56,0.008690647508342923,Medical_Keyword_44
57,0.02137454722945149,Medical_Keyword_45
58,0.016242901791701042,Medical_Keyword_46
59,-0.0475305602773963,Medical_Keyword_47
60,-0.08690081919425702,Medical_Keyword_48
61,-4096138281390.272,P1_1
62,-4096138281390.282,P1_2
63,-531534070970.8836,P2_A1
64,-487471530804.51544,P2_A2
65,-345908978722.1411,P2_A3
66,-161420005939.42166,P2_A4
67,-308613662576.46814,P2_A5
68,-502005963498.68506,P2_A6
69,-410119912422.56415,P2_A7
70,-867825380282.2708,P2_A8
71,-81962714061.80902,P2_B1
72,-370229651692.86945,P2_B2
73,-187929401257.97168,P2_C1
74,-140958450381.6207,P2_C2
75,-194695464899.08307,P2_C3
76,-164830181963.34967,P2_C4
77,-852068381243.7115,P2_D1
78,-836579576693.2495,P2_D2
79,-1163256594306.2441,P2_D3
80,-1049363264223.0198,P2_D4
81,-561166749244.3558,P2_E1
82,85423544723.15402,P3_1
83,241600029240.99316,P3_2
84,120806118251.59685,P3_3
85,650254013995.2878,P3_4
86,85423544723.1497,P3_5
87,147955427889.08646,P3_6
88,591597411102.2483,P3_8
89,283293988768.3589,P3_9
90,6277449988697.239,P3_10
91,540088485353.2658,P3_11
92,1923367870466.0947,P3_12
93,85423544723.15811,P3_13
94,1350511518075.3477,P3_15
95,85423544723.14754,P3_16
96,147955427889.1133,P3_17
97,85423544723.1503,P3_18
98,85423544723.14107,P3_19
99,85423544723.13654,P3_20
100,283293988768.3525,P3_21
101,85423544723.15366,P3_22
102,270112494843.16077,P3_23
103,85423544723.1508,P3_24
104,7286358213364.161,P3_26
105,4085173671723.5825,P3_27
106,519453602212.3191,P3_28
107,3084787814741.4717,P3_29
108,683025736598.4122,P3_30
109,1725813918017.092,P3_31
110,120806118251.58675,P3_32
111,256253370493.69754,P3_33
112,120806118251.58073,P3_34
113,427031399421.0391,P3_36
114,1005957767265.7163,P3_37
115,85423544723.14673,P3_38
116,-1566311885092.509,P5_2
117,-1566311885092.5269,P5_3
118,2814945857095.3306,P6_1
119,2814945857095.302,P6_3
120,-1265962325812.1409,P7_1
121,2450314613061.923,P7_2
122,-599671787488.7806,P7_3
123,2267209918481.5396,E2_1
124,124782773478.61511,E2_2
125,1064745315433.3469,E2_3
126,73602162880.27245,E2_4
127,26023828193.546143,E2_5
128,107284535540.91823,E2_6
129,68849098899.95949,E2_7
130,3127630907350.6416,E2_9
131,343758124513.309,E2_10
132,553583711943.3998,E2_11
133,2132050692430.4607,E2_12
134,116363476693.70193,E2_13
135,1731708107620.6228,E2_14
136,567849227423.0503,E2_15
137,110393946500.39766,E2_16
138,-3472026734375.9297,E2_17
139,45073833545.13776,E2_18
140,52046341593.02923,E2_19
141,86304005714.86545,E2_20
142,63742416393.31992,E2_21
143,36802940878.81283,E2_22
144,52046341593.038185,E2_23
145,52046341593.01866,E2_25
146,58189088888.01809,E2_26
147,158248774881.6739,E2_27
148,26023828193.550987,E2_28
149,26023828193.540314,E2_29
150,45073833545.14432,E2_30
151,26023828193.547733,E2_31
152,366498704231.03937,E2_32
153,52046341593.017715,E2_33
154,63742416393.3014,E2_34
155,36802940878.85272,E2_35
156,206449868724.31024,E2_36
157,189373355875.90283,E2_37
158,36802940878.87012,E2_38
159,-7448564857511.313,E3_1
160,-1682287196906.7952,E3_2
161,-4983711424934.662,E3_3
162,-3763792064148.719,E5_1
163,-1263839275611.3103,E5_2
164,-6885511201142.787,E5_3
165,-2170517465966.1987,I1_1
166,-2152272405269.5876,I1_2
167,-363217434553.28143,I1_3
168,1483773767060.523,I2_2
169,1483773767060.4229,I2_3
170,267971753903.37494,I3_1
171,560893761223.7821,I3_2
172,1023512644206.4432,I3_3
173,302136815703.79584,I3_4
174,154505997517.7325,I3_5
175,939714760578.0227,I3_6
176,186357060463.7505,I3_7
177,1061409301598.8109,I3_8
178,36295719487.61849,I3_9
179,256895278173.24753,I3_10
180,581728493808.0532,I3_11
181,-702568043471.0074,I4_2
182,-702568043470.993,I4_3
183,1470066085942.709,I5_1
184,1470066085942.5444,I5_3
185,-2232546719395.384,I6_1
186,-2232546719395.24,I6_2
187,-2314776646571.977,I7_1
188,-2314776646572.0713,I7_3
189,2763381464308.945,IH1_1
190,2763381464308.7944,IH1_2
191,-2103627282209.5251,IH2_1
