Id,Response
2,6
5,7
6,6
7,7
8,6
10,6
11,7
14,4
15,7
16,5
17,5
18,6
19,6
20,6
22,8
23,4
24,7
25,6
26,6
27,7
29,7
31,5
32,4
33,6
34,5
35,5
37,5
39,7
40,5
41,6
42,7
44,5
46,6
47,4
49,5
52,6
53,7
56,5
57,3
58,5
60,6
61,5
64,4
65,6
67,4
68,6
70,6
71,5
72,5
73,5
74,6
75,5
76,5
77,6
78,5
79,5
80,5
81,5
85,7
87,5
88,5
91,5
93,5
94,6
95,8
96,4
97,6
99,6
101,5
102,6
103,5
104,8
106,5
107,5
108,4
109,6
110,8
111,6
112,5
113,6
114,5
116,6
117,5
118,5
120,2
121,7
122,6
123,4
125,5
126,6
128,5
129,4
130,6
131,6
132,5
134,4
135,7
136,4
137,7
138,6
139,5
142,5
144,6
145,7
146,6
147,6
148,3
149,5
150,3
152,6
153,7
155,5
156,7
158,5
159,6
160,5
161,5
162,4
164,4
165,6
167,6
169,7
171,6
172,6
174,6
175,7
176,4
177,7
178,5
179,2
181,4
183,7
186,4
187,7
188,6
189,7
190,6
191,6
192,5
193,5
194,6
198,5
199,5
200,7
201,6
202,6
203,5
204,7
205,6
206,4
207,4
208,4
209,4
210,6
211,6
214,5
215,6
216,5
217,7
218,4
220,6
221,6
222,7
223,6
224,7
226,5
228,5
229,4
230,6
231,4
233,7
234,6
235,4
236,6
237,7
238,5
240,7
241,6
242,5
243,7
244,7
245,6
246,5
248,5
249,4
250,4
252,4
253,7
255,6
256,4
257,6
258,3
259,5
260,6
262,5
263,4
265,7
266,7
268,7
269,6
270,6
271,5
273,6
274,6
276,4
278,6
279,7
280,5
281,4
282,7
285,5
286,6
288,6
289,4
290,8
292,6
295,7
296,7
297,2
298,6
299,4
300,4
301,7
302,6
303,6
304,6
306,5
308,6
310,6
312,5
313,8
314,5
315,6
316,5
317,6
318,6
319,6
320,4
321,5
324,5
325,6
327,7
328,5
329,5
331,5
332,7
333,5
334,7
336,4
339,7
340,7
342,7
343,4
344,7
345,5
347,7
349,7
350,4
351,6
353,5
354,7
355,5
357,3
359,6
360,5
361,6
362,6
363,5
364,6
