Id,Response
1,1
3,6
4,6
9,6
12,7
13,4
21,6
28,8
30,1
36,6
38,8
43,4
45,4
48,8
50,4
51,7
54,7
55,4
59,4
62,1
63,1
66,8
69,8
82,8
83,6
84,1
86,8
89,8
90,2
92,8
98,7
100,3
105,5
115,6
119,3
124,4
127,8
133,7
140,5
141,8
143,2
151,2
154,8
157,8
163,1
166,3
168,8
170,4
173,5
180,5
182,8
184,1
185,4
195,4
196,4
197,4
212,5
213,6
219,8
225,1
227,2
232,2
239,5
247,6
251,2
254,2
261,5
264,6
267,7
272,6
275,8
277,1
283,8
284,1
287,5
291,8
293,5
294,5
305,1
307,2
309,5
311,5
322,3
323,4
326,5
330,3
335,8
337,7
338,5
341,3
346,7
348,1
352,3
356,8
358,1
366,2
369,2
373,6
375,2
381,6
384,8
386,6
396,4
397,1
399,5
405,8
412,4
417,2
421,7
425,7
427,7
430,2
432,2
433,5
436,8
438,7
441,8
442,5
444,1
446,5
448,6
450,5
454,6
465,8
470,7
472,5
475,4
484,8
495,8
497,8
498,7
501,2
502,6
505,8
515,1
516,1
527,8
529,5
531,6
533,5
537,3
541,5
546,6
548,6
549,8
550,6
553,5
559,6
561,1
564,5
574,5
578,4
579,6
580,8
582,3
584,8
588,7
596,2
602,1
603,5
613,8
614,3
619,6
620,5
624,8
625,1
628,6
630,7
635,7
636,1
637,8
641,7
644,8
648,8
654,6
658,1
664,8
666,6
667,7
670,8
672,7
674,8
676,8
684,8
685,4
693,1
694,7
700,4
702,6
703,7
705,6
711,8
718,2
722,6
726,1
727,1
732,8
735,8
740,1
748,2
750,6
751,8
756,7
762,7
766,8
770,6
771,1
779,1
782,1
784,7
793,7
798,3
800,6
801,7
805,7
807,1
813,5
819,6
820,7
822,8
823,5
833,8
834,1
842,4
845,6
856,8
860,5
864,1
869,5
872,5
877,3
878,7
893,4
894,8
896,5
899,1
900,1
911,5
914,8
917,3
919,4
923,3
925,2
926,2
934,7
938,5
940,2
955,6
956,5
971,7
973,8
978,7
979,8
981,4
988,8
990,7
992,2
996,7
997,4
999,3
1000,5
1006,4
1009,3
1018,2
1025,3
1038,6
1042,8
1045,2
1046,8
1047,6
1050,5
1052,7
1054,6
1057,7
1061,4
1069,5
1071,7
1073,6
1074,8
1075,1
1083,7
1084,1
1089,5
1099,5
1103,2
1110,8
1123,7
1130,7
1135,2
1137,8
1145,8
1147,3
1152,8
1153,4
1154,7
1158,4
1166,4
1170,6
1172,6
1178,1
1179,8
1181,3
1182,5
1183,8
1191,1
1192,2
1200,3
1205,2
1207,6
1208,3
1209,1
1217,1
1223,4
1225,7
1226,2
1228,3
1230,6
1232,5
1235,8
1237,7
1257,5
1266,1
1267,6
1274,8
1277,8
1278,5
1280,8
1282,7
1293,3
1294,4
1305,5
1306,5
1311,5
1318,5
1320,8
1323,6
1325,3
1328,2
1336,5
1340,5
1341,8
1344,7
1345,7
1348,3
1358,1
1361,8
1364,6
1373,6
1377,2
1378,8
1380,6
1382,8
1383,1
1386,7
1387,2
1390,1
1395,8
1398,1
1402,1
1403,8
1405,6
1407,8
1410,1
1412,2
1419,7
1426,1
1428,8
1436,6
1437,6
1438,2
1441,7
1444,2
1448,1
1454,5
1457,5
1459,8
1463,7
1467,4
1471,7
1475,5
1476,3
1480,5
1481,3
1482,5
1489,1
1491,6
1494,4
1496,4
1500,8
1501,8
1503,7
1504,5
1505,4
1515,2
1517,4
1520,5
1521,4
1523,8
1526,6
1529,5
1530,1
1543,3
1544,8
1547,7
1550,8
1552,1
1554,2
1563,7
1574,8
1575,5
1576,1
1579,5
1582,2
1584,5
1585,8
1589,2
1596,7
1598,2
1611,8
1613,2
1615,6
1618,2
1627,7
1630,3
1638,8
1639,5
1640,8
1642,6
1645,2
1648,6
1654,1
1661,1
1662,6
1663,8
1666,6
1668,1
1670,4
1672,7
1681,7
1682,7
1683,5
1687,8
1688,8
1693,5
1694,1
1700,8
1704,4
1712,8
1716,7
1717,6
1722,1
1724,3
1738,3
1739,3
1740,2
1761,8
1763,8
1765,5
1766,6
1767,6
1771,7
1772,7
1777,8
1784,1
1799,7
1806,7
1810,2
1812,1
1814,3
1818,6
1819,7
1822,5
1823,7
1824,6
1834,1
1835,6
1844,1
1848,6
1849,8
1850,2
1851,2
1856,1
1862,1
1863,7
1872,1
1874,1
1875,8
1877,8
1900,1
1902,1
1904,6
1905,1
1908,8
1914,8
1916,3
1922,1
1933,5
1934,3
1939,6
1942,6
1947,8
1957,8
1971,7
1973,2
1974,6
1977,7
1981,2
1985,8
1987,6
1989,7
2001,5
2002,3
2007,1
2008,6
2011,6
2021,2
2034,6
2040,6
2044,4
2045,8
2048,7
2051,6
2062,7
2066,4
2068,7
2069,1
2074,8
2075,8
2078,8
2079,2
2080,1
2081,3
2084,2
2085,5
2087,7
2096,4
2102,8
2103,6
2107,8
2117,2
2118,5
2120,6
2121,2
2122,2
2130,6
2136,2
2138,8
2140,5
2143,6
2144,1
2145,2
2147,6
2150,3
2154,8
2155,3
2166,5
2169,1
2173,6
2176,2
2178,8
2179,1
2180,6
2184,8
2185,8
2188,5
2190,6
2194,7
2195,2
2198,5
2205,8
2206,6
2207,3
2212,7
2213,6
2216,8
2218,2
2224,7
2225,8
2228,7
2236,6
2242,8
2246,4
2250,8
2255,6
2256,3
2267,1
2268,5
2269,1
2272,3
2275,1
2280,8
2282,8
2287,1
2289,8
2293,8
2296,6
2307,7
2309,8
2313,5
2325,7
2327,4
2336,1
2339,6
2342,8
2347,8
2350,4
2360,6
2364,7
2369,2
2379,1
2394,6
2395,2
2399,8
2402,8
2410,8
2416,5
2420,7
2427,4
2434,8
2435,8
2441,8
2447,6
2452,6
2463,7
2467,8
2468,6
2470,1
2476,6
2483,2
2487,5
2492,8
2502,5
2504,1
2510,8
2511,5
2512,8
2517,1
2520,8
2521,8
2523,5
2524,1
2525,6
2526,2
2528,8
2530,5
2532,2
2536,7
2540,7
2541,1
2543,7
2549,7
2550,3
2556,5
2557,6
2559,5
2565,8
2566,8
2567,1
2568,5
2570,8
2573,8
2577,8
2578,1
2583,2
2586,2
2587,1
2588,8
2591,8
2597,7
2606,7
2607,8
2608,6
2611,1
2612,5
2613,6
2616,4
2621,6
2622,5
2634,6
2639,5
2642,1
2644,3
2650,4
2655,7
2664,5
2667,6
2670,5
2679,3
2681,1
2683,7
2685,8
2687,8
2696,5
2699,7
2712,2
2716,6
2720,5
2725,6
2726,5
2731,7
2733,8
2740,7
2742,6
2748,3
2749,8
2763,4
2771,8
2772,5
2773,5
2783,8
2784,6
2789,1
2796,1
2798,5
2799,8
2800,4
2802,8
2805,6
2809,5
2816,6
2817,7
2821,4
2822,7
2829,7
2832,5
2842,7
2844,7
2846,4
2851,6
2852,5
2853,8
2856,7
2862,1
2866,6
2868,2
2886,8
2892,6
2893,4
2898,6
2917,1
2923,3
2927,5
2930,8
2931,3
2935,7
2936,6
2961,1
2964,5
2967,2
2968,2
2970,7
2977,5
2978,2
2979,8
2985,1
2986,3
2989,3
2997,4
2999,8
3004,5
3008,6
3010,1
3020,8
3022,6
3024,5
3027,7
3032,8
3033,8
3048,5
3053,7
3056,7
3070,4
3071,2
3073,7
3080,8
3098,8
3099,7
3109,7
3110,8
3115,2
3121,8
3128,5
3132,4
3133,3
3141,8
3144,6
3145,5
3154,4
3159,8
3164,6
3168,1
3172,3
3176,7
3186,2
3193,2
3196,7
3199,1
3200,7
3209,6
3210,4
3214,7
3229,6
3230,7
3233,8
3242,2
3244,1
3249,5
3251,3
3253,3
3264,3
3271,1
3272,8
3274,7
3276,2
3280,6
3282,5
3285,2
3297,3
3298,5
3307,2
3309,8
3310,8
3312,6
3314,8
3315,5
3316,1
3319,5
3322,8
3327,1
3332,5
3334,8
3336,1
3338,5
3340,7
3343,5
3352,8
3353,6
3356,8
3357,8
3360,6
3365,8
3366,8
3367,8
3369,8
3374,2
3376,6
3381,8
3385,6
3386,1
3397,7
3403,5
3409,5
3414,7
3415,8
3423,7
3427,6
3428,8
3439,5
3441,7
3442,1
3447,6
3453,6
3456,2
3458,2
3459,1
3462,6
3464,8
3477,8
3480,3
3483,8
3490,6
3497,6
3498,7
3500,5
3504,5
3509,1
3510,8
3511,7
3525,5
3528,5
3529,1
3531,5
3532,8
3536,8
3537,5
3538,6
3547,3
3557,4
3572,7
3573,7
3588,6
3590,7
3597,8
3601,6
3602,6
3608,4
3611,5
3616,6
3619,7
3623,7
3638,3
3641,1
3643,6
3647,3
3648,7
3662,5
3663,8
3665,1
3679,6
3683,3
3692,6
3700,5
3705,1
3706,8
3711,5
3712,1
3716,1
3725,1
3727,8
3739,2
3740,2
3743,5
3744,2
3750,8
3751,5
3752,2
3753,7
3754,2
3761,8
3762,7
3764,5
3773,8
3774,1
3775,6
3776,8
3785,4
3788,8
3791,3
3792,8
3794,1
3797,5
3798,8
3807,5
3808,8
3810,5
3813,7
3815,8
3818,7
3820,3
3824,7
3832,5
3836,8
3837,5
3849,5
3853,5
3861,2
3862,6
3863,1
3867,2
3868,7
3871,6
3873,5
3874,8
3879,7
3881,7
3883,4
3887,6
3888,6
3889,2
3898,1
3901,7
3904,2
3905,5
3907,6
3911,3
3915,6
3917,1
3923,8
3925,1
3931,6
3934,8
3943,6
3946,3
3947,2
3949,3
3958,2
3959,8
3960,3
3969,7
3971,7
3973,8
3976,8
3979,8
3982,8
3992,6
3993,4
3995,2
3997,1
4002,8
4003,8
4006,8
4010,8
4011,3
4012,8
4019,8
4020,3
4026,6
4030,3
4033,6
4034,6
4038,5
4045,6
4046,8
4047,4
4048,8
4055,8
4061,6
4063,1
4066,4
4069,8
4076,6
4081,8
4086,8
4087,5
4094,8
4096,4
4105,4
4107,1
4110,1
4115,6
4128,4
4131,8
4136,2
4140,5
4141,5
4142,8
4146,6
4156,7
4159,8
4171,6
4174,2
4175,1
4180,8
4187,6
4191,2
4193,6
4197,5
4201,2
4203,1
4205,8
4206,4
4209,7
4213,8
4215,6
4220,8
4223,7
4225,5
4234,3
4241,2
4244,6
4247,6
4254,2
4255,3
4262,2
4263,6
4266,4
4269,5
4270,1
4271,1
4274,5
4279,6
4286,2
4287,6
4288,8
4290,5
4294,5
4296,1
4299,2
4302,8
4316,5
4320,5
4321,1
4324,3
4325,2
4326,5
4332,8
4334,8
4343,8
4348,7
4350,5
4353,5
4356,7
4361,5
4367,3
4369,7
4371,6
4373,6
4374,2
4376,8
4393,5
4394,2
4397,1
4398,4
4404,8
4410,7
4411,5
4412,7
4414,2
4415,8
4418,3
4420,6
4426,1
4427,6
4430,2
4431,5
4435,8
4437,1
4438,8
4458,2
4461,6
4462,5
4464,3
4482,8
4484,5
4489,4
4494,7
4496,6
4503,7
4508,2
4515,5
4516,8
4517,6
4518,5
4524,5
4525,3
4527,8
4529,8
4535,6
4538,3
4544,5
4545,2
4550,6
4551,7
4554,8
4563,6
4565,8
4573,6
4576,6
4578,7
4587,7
4590,2
4597,1
4600,8
4608,7
4612,3
4615,8
4616,7
4618,7
4620,2
4622,6
4624,7
4628,6
4631,8
4633,8
4646,2
4648,1
4655,7
4669,8
4673,1
4677,1
4680,7
4683,1
4691,2
4694,8
4697,8
4698,1
4704,8
4711,1
4713,6
4716,5
4724,5
4727,8
4730,1
4731,7
4732,5
4741,3
4742,7
4743,1
4753,5
4758,6
4762,1
4765,5
4782,2
4787,6
4788,8
4789,3
4790,8
4792,8
4797,5
4805,6
4806,7
4809,5
4814,8
4823,4
4825,2
4830,6
4832,5
4833,3
4840,3
4841,6
4844,6
4845,8
4849,5
4858,6
4870,7
4875,6
4877,8
4882,8
4891,2
4900,1
4905,7
4907,5
4908,8
4923,6
4924,6
4925,8
4927,5
4933,5
4935,8
4941,2
4944,5
4946,2
4953,6
4956,5
4968,5
4985,1
4989,8
4995,1
5005,3
5010,2
5016,8
5018,8
5029,3
5031,1
5037,1
5039,1
5041,2
5043,6
5052,2
5055,7
5059,1
5063,8
5067,8
5070,6
5072,1
5073,7
5079,8
5086,2
5093,5
5094,2
5098,8
5101,8
5108,2
5112,7
5113,8
5119,8
5120,5
5121,6
5126,5
5127,8
5128,8
5131,3
5137,3
5146,7
5148,6
5150,7
5159,7
5160,6
5163,1
5170,6
5177,4
5179,6
5185,5
5188,7
5190,5
5191,5
5192,7
5195,1
5198,1
5208,5
5214,7
5215,8
5219,4
5220,8
5223,2
5224,1
5225,8
5227,2
5229,8
5231,1
5236,2
5237,1
5238,2
5240,7
5248,8
5252,7
5256,6
5269,8
5270,1
5272,8
5275,8
5276,6
5279,8
5280,2
5281,8
5291,2
5292,6
5294,1
5296,8
5302,6
5307,7
5312,8
5313,6
5314,8
5315,4
5316,8
5317,1
5318,6
5321,7
5322,8
5323,6
5324,8
5334,8
5343,3
5344,5
5345,6
5355,5
5364,6
5369,8
5371,8
5380,7
5385,2
5392,3
5395,1
5396,8
5398,8
5400,4
5402,8
5411,5
5412,2
5414,6
5417,5
5424,8
5427,6
5428,8
5430,2
5432,7
5438,3
5448,5
5459,4
5460,5
5461,1
5463,5
5477,2
5479,5
5481,8
5482,5
5491,1
5493,8
5506,5
5507,5
5517,2
5532,5
5533,7
5534,8
5541,7
5542,2
5548,3
5551,5
5553,6
5554,6
5565,7
5574,5
5575,8
5576,2
5583,2
5584,2
5586,2
5587,1
5588,8
5596,8
5597,8
5601,6
5603,8
5613,1
5614,8
5618,6
5619,8
5621,8
5622,8
5627,8
5628,1
5630,8
5633,1
5639,4
5643,6
5649,5
5653,7
5655,7
5664,1
5667,5
5670,7
5674,5
5678,4
5680,3
5687,3
5692,6
5694,6
5697,8
5701,3
5704,8
5710,5
5711,1
5716,5
5724,8
5725,3
5726,5
5727,1
5731,7
5749,2
5751,6
5755,6
5756,4
5761,8
5767,3
5768,5
5770,5
5772,4
5773,5
5775,8
5776,6
5784,2
5792,5
5793,7
5794,8
5797,5
5799,5
5800,6
5805,7
5809,8
5813,4
5817,8
5824,7
5829,4
5832,5
5835,1
5837,3
5847,8
5854,7
5857,5
5860,8
5872,1
5874,8
5876,5
5880,7
5882,4
5891,2
5892,1
5906,7
5922,8
5923,7
5927,7
5929,7
5941,1
5942,4
5945,8
5947,5
5950,7
5951,7
5952,4
5960,8
5965,6
5967,5
5974,8
5977,5
5984,2
5987,7
5991,2
5996,6
5997,8
6002,5
6005,6
6008,7
6009,5
6014,2
6027,1
6030,1
6033,8
6034,5
6035,8
6043,7
6046,6
6047,5
6048,8
6070,2
6071,6
6085,3
6090,6
6091,4
6092,6
6098,4
6106,4
6108,8
6111,2
6115,8
6117,3
6121,1
6124,4
6126,5
6129,5
6131,6
6141,7
6142,3
6143,1
6144,3
6147,1
6148,3
6155,6
6158,1
6159,1
6162,4
6166,8
6172,1
6177,2
6178,8
6181,5
6182,8
6185,7
6191,6
6195,6
6204,7
6205,1
6211,5
6212,6
6219,6
6220,8
6223,2
6226,8
6239,6
6243,8
6249,2
6252,6
6255,5
6260,4
6261,8
6263,5
6264,7
6270,2
6271,7
6272,5
6274,1
6277,2
6280,7
6284,1
6286,4
6288,3
6290,8
6293,6
6299,7
6301,8
6304,1
6306,2
6308,8
6309,6
6312,8
6321,3
6322,3
6331,2
6335,6
6340,7
6343,8
6344,1
6347,1
6348,5
6349,8
6350,6
6354,8
6355,1
6362,3
6367,8
6372,5
6375,8
6379,5
6384,5
6386,7
6390,6
6396,5
6401,5
6403,2
6408,5
6410,7
6420,4
6430,8
6436,7
6440,1
6442,8
6443,8
6444,6
6459,7
6466,6
6469,5
6474,7
6475,3
6476,1
6490,3
6491,1
6496,3
6497,4
6498,6
6499,2
6501,1
6514,2
6515,4
6524,5
6526,1
6532,6
6537,2
6538,6
6541,5
6546,2
6551,3
6554,1
6557,2
6560,1
6565,6
6566,6
6578,5
6582,8
6587,5
6593,7
6596,6
6611,6
6615,5
6620,7
6626,5
6627,5
6628,8
6635,1
6639,2
6641,1
6645,1
6660,8
6663,7
6669,7
6674,5
6682,6
6685,3
6687,8
6692,5
6695,8
6696,2
6699,6
6700,7
6701,6
6705,3
6707,5
6709,8
6711,8
6714,1
6722,3
6723,5
6724,7
6726,7
6733,8
6734,4
6735,7
6736,3
6738,1
6741,8
6746,6
6754,7
6758,5
6763,1
6764,3
6768,8
6778,3
6784,8
6785,6
6787,7
6806,6
6825,2
6830,3
6831,4
6832,1
6833,5
6835,3
6842,8
6843,2
6853,5
6859,5
6860,2
6862,1
6867,1
6868,7
6885,7
6888,2
6889,2
6897,2
6898,3
6900,7
6902,1
6903,3
6907,2
6909,1
6911,1
6925,6
6930,3
6931,2
6933,2
6937,1
6941,2
6948,5
6950,8
6956,6
6957,8
6960,8
6962,5
6969,1
6971,5
6973,1
6980,7
6983,1
6985,2
6999,5
7005,8
7006,8
7007,6
7012,3
7013,4
7016,3
7017,8
7020,5
7024,6
7026,3
7027,5
7029,3
7032,2
7034,8
7044,8
7054,3
7057,7
7058,6
7060,7
7065,7
7069,7
7071,6
7076,2
7077,7
7081,1
7082,3
7093,4
7095,2
7098,1
7099,1
7105,1
7106,5
7122,6
7129,8
7130,5
7135,8
7136,5
7137,1
7138,8
7141,7
7143,3
7159,7
7162,8
7165,1
7169,4
7171,2
7172,7
7175,6
7178,5
7182,2
7190,5
7194,4
7196,2
7205,6
7207,5
7210,8
7211,1
7216,8
7219,2
7222,1
7224,8
7234,1
7237,6
7242,1
7246,5
7247,1
7251,5
7252,1
7257,4
7276,5
7281,1
7286,8
7287,6
7295,1
7297,5
7300,7
7307,7
7308,5
7310,2
7315,3
7317,7
7318,8
7322,6
7325,6
7326,8
7332,5
7342,8
7345,5
7347,3
7349,5
7352,7
7353,4
7354,8
7370,6
7392,6
7394,6
7396,3
7397,6
7400,6
7402,1
7406,7
7409,8
7410,8
7412,1
7414,1
7419,5
7420,6
7421,6
7424,7
7428,1
7431,5
7435,8
7437,7
7445,5
7449,6
7456,8
7458,6
7459,1
7463,3
7464,5
7465,8
7467,8
7471,3
7472,1
7485,6
7494,5
7505,4
7511,8
7512,8
7513,1
7514,2
7515,1
7523,1
7530,7
7531,7
7536,7
7538,8
7542,4
7543,7
7549,5
7557,5
7559,2
7560,8
7563,5
7564,7
7567,3
7572,5
7575,4
7588,5
7595,1
7596,8
7602,1
7609,6
7612,7
7613,1
7621,1
7622,7
7624,5
7625,6
7629,8
7632,8
7634,7
7636,8
7637,1
7638,1
7640,1
7643,8
7648,8
7653,1
7654,8
7662,6
7671,7
7674,6
7682,5
7683,5
7686,7
7690,4
7692,6
7694,4
7695,3
7700,5
7714,4
7715,5
7721,8
7728,3
7737,1
7739,2
7745,1
7747,5
7761,8
7762,8
7763,6
7770,5
7771,6
7774,8
7776,5
7779,2
7793,6
7795,7
7796,8
7800,8
7803,6
7808,6
7811,8
7812,5
7813,5
7814,6
7818,1
7826,7
7827,8
7831,8
7834,4
7837,2
7841,8
7842,8
7843,5
7844,8
7851,8
7854,8
7856,7
7859,6
7866,2
7869,8
7870,4
7872,2
7886,4
7892,7
7893,7
7908,1
7910,8
7914,4
7919,5
7922,6
7930,2
7932,1
7947,1
7949,7
7950,7
7952,6
7953,1
7955,8
7960,6
7961,6
7962,5
7963,8
7967,2
7968,7
7975,2
7977,5
7980,5
7985,6
7987,7
7994,3
7995,8
7999,7
8005,8
8007,7
8009,8
8014,5
8017,5
8018,8
8024,6
8025,4
8026,2
8029,1
8031,8
8035,6
8049,6
8058,2
8060,5
8061,7
8070,5
8071,7
8072,1
8073,1
8075,6
8076,2
8081,6
8082,6
8090,6
8094,6
8097,3
8107,1
8112,5
8115,5
8120,1
8123,1
8128,5
8129,5
8133,6
8138,6
8142,2
8143,4
8145,7
8146,1
8147,5
8151,2
8153,8
8163,2
8167,7
8168,5
8169,2
8172,1
8178,1
8184,5
8185,7
8186,5
8187,5
8191,3
8196,3
8205,7
8206,8
8216,3
8218,5
8219,8
8227,6
8228,1
8230,8
8231,1
8234,8
8241,8
8242,4
8245,8
8246,4
8251,6
8254,5
8262,5
8269,8
8277,8
8286,5
8287,5
8288,2
8289,6
8292,5
8293,6
8294,3
8296,5
8306,1
8307,2
8314,6
8317,2
8320,3
8326,8
8329,7
8330,5
8331,5
8343,3
8350,1
8352,3
8354,1
8355,1
8356,3
8357,1
8364,6
8370,2
8381,5
8382,7
8383,8
8386,1
8389,8
8390,1
8393,7
8399,8
8400,4
8403,2
8404,6
8405,4
8409,6
8413,3
8417,7
8418,5
8423,6
8427,6
8431,8
8432,8
8434,8
8437,8
8447,7
8449,8
8457,3
8459,4
8461,2
8466,2
8467,8
8469,7
8479,5
8481,7
8493,5
8496,6
8501,4
8502,6
8508,5
8509,8
8514,4
8518,3
8519,5
8527,8
8530,6
8537,3
8539,7
8542,6
8547,5
8550,5
8554,1
8556,5
8560,6
8566,6
8569,7
8571,8
8572,5
8575,7
8580,1
8584,2
8585,5
8587,5
8593,5
8595,1
8597,2
8598,8
8599,6
8601,7
8607,3
8612,7
8621,8
8625,6
8630,8
8631,6
8633,5
8644,6
8650,3
8652,8
8656,8
8657,8
8659,6
8660,8
8665,6
8667,3
8668,6
8670,2
8682,8
8690,7
8692,6
8698,6
8702,4
8710,2
8713,8
8714,8
8715,1
8718,1
8719,3
8722,7
8737,5
8738,8
8739,5
8740,2
8745,1
8750,8
8754,3
8757,2
8762,1
8769,8
8773,8
8782,5
8790,6
8804,1
8815,1
8818,2
8819,3
8828,2
8831,7
8838,5
8841,1
8847,5
8849,5
8857,2
8860,1
8861,6
8875,6
8884,6
8889,2
8891,8
8893,8
8894,7
8897,8
8909,8
8928,6
8932,5
8933,2
8934,8
8938,8
8943,1
8946,7
8951,2
8953,2
8959,2
8960,4
8963,5
8968,7
8972,7
8973,5
8977,4
8978,7
8980,8
8984,5
8987,7
8989,6
8995,7
8996,8
9001,3
9003,2
9005,3
9007,1
9009,7
9012,7
9015,8
9024,8
9031,6
9032,6
9035,5
9053,8
9060,6
9067,1
9068,4
9077,6
9080,1
9084,8
9087,4
9090,3
9095,6
9098,2
9101,8
9108,2
9112,2
9113,7
9117,5
9123,8
9124,7
9127,7
9130,2
9132,7
9136,6
9138,8
9142,8
9143,6
9145,8
9146,7
9148,4
9151,3
9154,6
9158,7
9163,5
9169,5
9171,7
9176,6
9181,6
9185,7
9187,5
9188,8
9190,7
9204,8
9205,6
9207,6
9213,8
9220,1
9221,7
9224,5
9225,4
9227,8
9232,1
9234,8
9237,5
9238,8
9240,2
9248,2
9253,8
9254,6
9257,2
9264,3
9267,2
9269,8
9271,1
9272,7
9276,5
9278,2
9280,6
9281,8
9286,4
9288,5
9290,2
9291,8
9293,5
9294,8
9295,1
9298,8
9303,2
9304,8
9307,8
9309,5
9314,3
9315,6
9317,7
9318,7
9319,1
9320,1
9326,6
9331,3
9339,6
9342,5
9349,3
9353,4
9359,5
9362,3
9366,7
9376,5
9384,6
9386,6
9390,5
9396,6
9399,1
9402,1
9415,1
9420,4
9421,3
9422,6
9425,4
9428,6
9440,6
9441,2
9443,5
9451,6
9456,2
9457,1
9459,7
9465,3
9475,6
9483,2
9485,8
9488,4
9492,3
9494,3
9495,6
9498,4
9502,6
9506,6
9509,7
9512,8
9516,8
9520,7
9524,2
9531,1
9532,8
9538,1
9547,7
9549,6
9550,2
9552,8
9555,8
9563,8
9565,8
9574,6
9586,3
9587,8
9593,8
9594,6
9597,7
9600,1
9603,7
9607,8
9608,6
9609,1
9610,8
9612,7
9613,5
9618,2
9619,5
9621,5
9625,1
9638,8
9644,5
9650,2
9652,1
9654,8
9660,8
9665,6
9666,6
9668,7
9672,7
9674,7
