Id,Response
2,8
5,4
6,8
7,8
8,8
10,7
11,8
14,2
15,8
16,5
17,6
18,3
19,1
20,3
22,8
23,5
24,8
25,8
26,3
27,8
29,8
31,6
32,5
33,8
34,5
35,5
37,6
39,8
40,6
41,6
42,4
44,7
46,7
47,5
49,1
52,7
53,8
56,5
57,1
58,2
60,8
61,1
64,2
65,6
67,2
68,1
70,6
71,6
72,5
73,5
74,7
75,5
76,3
77,3
78,8
79,5
80,6
81,6
85,8
87,6
88,7
91,7
93,3
94,5
95,8
96,2
97,8
99,7
101,6
102,6
103,1
104,8
106,2
107,5
108,5
109,7
110,8
111,7
112,7
113,7
114,3
116,3
117,1
118,6
120,2
121,8
122,7
123,2
125,6
126,8
128,7
129,5
130,1
131,8
132,5
134,6
135,4
136,5
137,8
138,8
139,2
142,5
144,5
145,8
146,8
147,1
148,5
149,7
150,2
152,6
153,8
155,1
156,8
158,8
159,2
160,2
161,7
162,5
164,1
165,6
167,6
169,8
171,8
172,1
174,3
175,8
176,5
177,8
178,1
179,5
181,5
183,8
186,2
187,8
188,8
189,8
190,6
191,7
192,5
193,5
194,6
198,7
199,1
200,8
201,8
202,2
203,5
204,8
205,6
206,5
207,1
208,3
209,5
210,7
211,1
214,2
215,8
216,7
217,6
218,7
220,4
221,8
222,8
223,7
224,8
226,2
228,1
229,1
230,8
231,5
233,8
234,7
235,5
236,4
237,8
238,6
240,4
241,8
242,5
243,8
244,8
245,6
246,5
248,8
249,2
250,5
252,5
253,7
255,8
256,2
257,6
258,2
259,1
260,8
262,3
263,5
265,8
266,4
268,8
269,8
270,8
271,8
273,7
274,8
276,7
278,8
279,8
280,7
281,5
282,2
285,6
286,7
288,7
289,5
290,8
292,8
295,8
296,6
297,5
298,8
299,1
300,5
301,8
302,1
303,7
304,3
306,1
308,6
310,1
312,6
313,8
314,6
315,8
316,1
317,8
318,7
319,7
320,2
321,7
324,5
325,7
327,7
328,7
329,6
331,3
332,8
333,5
334,8
336,2
339,8
340,8
342,8
343,3
344,8
345,1
347,8
349,8
350,2
351,8
353,2
354,8
355,6
357,2
359,8
360,6
361,7
362,7
363,7
364,3
365,8
367,1
368,8
370,8
371,8
372,5
374,8
376,8
377,5
378,5
379,7
380,1
382,7
383,8
385,2
387,8
388,8
389,1
390,2
391,8
392,4
393,5
394,2
395,8
398,3
400,7
401,1
402,8
403,8
404,1
406,7
407,8
408,8
409,8
410,8
411,8
413,8
414,6
415,7
416,8
418,8
419,8
420,1
422,5
423,1
424,8
426,3
428,4
429,5
431,8
434,5
435,6
437,8
439,6
440,5
443,1
445,8
447,8
449,1
451,8
452,7
453,2
455,1
456,8
457,7
458,2
459,5
460,6
461,1
462,1
463,4
464,7
466,1
467,8
468,8
469,3
471,1
473,2
474,8
476,1
477,8
478,8
479,7
480,2
481,1
482,6
483,8
485,1
486,3
487,8
488,4
489,7
490,8
491,3
492,5
493,2
494,1
496,8
499,8
500,4
503,8
504,8
506,8
507,7
508,8
509,7
510,7
511,5
512,8
513,5
514,8
517,1
518,6
519,8
520,7
521,3
522,7
523,6
524,8
525,5
526,7
528,1
530,6
532,6
534,8
535,8
536,7
538,8
539,8
540,5
542,8
543,1
544,8
545,1
547,6
551,7
552,2
554,8
555,8
556,1
557,4
558,1
560,1
562,8
563,1
565,5
566,4
567,8
568,1
569,2
570,1
571,7
572,8
573,2
575,6
576,1
577,5
581,7
583,8
585,8
586,4
587,8
589,5
590,8
591,5
592,8
593,5
594,6
595,6
597,8
598,7
599,8
600,7
601,1
604,2
605,4
606,8
607,2
608,2
609,8
610,2
611,8
612,2
615,2
616,8
617,8
618,8
621,8
622,7
623,4
626,8
627,4
629,8
631,3
632,8
633,8
634,6
638,6
639,7
640,2
642,1
643,5
645,1
646,7
647,1
649,6
650,8
651,1
652,7
653,8
655,8
656,5
657,1
659,6
660,7
661,5
662,8
663,5
665,5
668,4
669,8
671,3
673,8
675,5
677,2
678,1
679,6
680,6
681,8
682,7
683,5
686,5
687,2
688,5
689,5
690,8
691,2
692,8
695,2
696,8
697,2
698,7
699,8
701,6
704,3
706,3
707,6
708,8
709,8
710,7
712,2
713,2
714,7
715,3
716,6
717,8
719,8
720,8
721,6
723,1
724,8
725,8
728,8
729,7
730,2
731,5
733,8
734,8
736,8
737,7
738,5
739,8
741,3
742,6
743,8
744,7
745,8
746,7
747,8
749,1
752,8
753,8
754,5
755,5
757,1
758,2
759,6
760,6
761,5
763,8
764,5
765,8
767,7
768,7
769,2
772,5
773,6
774,5
775,5
776,6
777,5
778,7
780,8
781,3
783,6
785,5
786,7
787,5
788,5
789,1
790,6
791,7
792,2
794,4
795,1
796,8
797,8
799,2
802,2
803,8
804,6
806,1
808,1
809,5
810,8
811,8
812,2
814,5
815,1
816,7
817,8
818,8
821,2
824,1
825,8
826,2
827,2
828,2
829,8
830,3
831,8
832,4
835,2
836,8
837,8
838,8
839,7
840,8
841,5
843,5
844,8
846,4
847,8
848,6
849,7
850,6
851,8
852,5
853,3
854,8
855,1
857,7
858,4
859,7
861,1
862,2
863,7
865,4
866,1
867,1
868,8
870,5
871,8
873,7
874,8
875,8
876,8
879,8
880,8
881,7
882,4
883,2
884,7
885,1
886,8
887,7
888,8
889,1
890,1
891,1
892,6
895,7
897,5
898,8
901,5
902,1
903,8
904,5
905,1
906,7
907,8
908,8
909,1
910,8
912,7
913,4
915,3
916,1
918,8
920,8
921,6
922,7
924,4
927,7
928,5
929,4
930,5
931,6
932,2
933,8
935,5
936,4
937,8
939,7
941,6
942,8
943,5
944,8
945,5
946,6
947,3
948,8
949,8
950,4
951,2
952,5
953,3
954,4
957,1
958,6
959,8
960,4
961,6
962,5
963,8
964,5
965,7
966,1
967,8
968,8
969,8
970,8
972,5
974,8
975,7
976,7
977,1
980,8
982,4
983,8
984,7
985,8
986,5
987,8
989,7
991,8
993,6
994,8
995,8
998,6
1001,3
1002,8
1003,3
1004,5
1005,6
1007,7
1008,1
1010,2
1011,8
1012,7
1013,7
1014,5
1015,4
1016,8
1017,5
1019,1
1020,5
1021,7
1022,7
1023,5
1024,7
1026,1
1027,8
1028,6
1029,7
1030,8
1031,8
1032,8
1033,6
1034,8
1035,3
1036,8
1037,8
1039,2
1040,6
1041,6
1043,1
1044,7
1048,8
1049,8
1051,2
1053,5
1055,5
1056,8
1058,2
1059,7
1060,6
1062,7
1063,7
1064,8
1065,8
1066,5
1067,2
1068,3
1070,1
1072,8
1076,2
1077,7
1078,6
1079,8
1080,8
1081,1
1082,2
1085,3
1086,6
1087,8
1088,8
1090,8
1091,8
1092,8
1093,8
1094,6
1095,5
1096,6
1097,7
1098,8
1100,6
1101,2
1102,8
1104,5
1105,2
1106,6
1107,6
1108,6
1109,6
1111,1
1112,8
1113,5
1114,1
1115,8
1116,8
1117,7
1118,2
1119,6
1120,8
1121,1
1122,8
1124,7
1125,8
1126,3
1127,7
1128,5
1129,1
1131,7
1132,2
1133,8
1134,8
1136,8
1138,8
1139,8
1140,2
1141,7
1142,7
1143,7
1144,5
1146,8
1148,8
1149,7
1150,5
1151,7
1155,5
1156,1
1157,8
1159,1
1160,8
1161,8
1162,8
1163,8
1164,2
1165,7
1167,7
1168,1
1169,7
1171,4
1173,2
1174,8
1175,8
1176,8
1177,6
1180,8
1184,8
1185,1
1186,8
1187,8
1188,6
1189,1
1190,7
1193,7
1194,5
1195,1
1196,1
1197,8
1198,8
1199,6
1201,5
1202,8
1203,8
1204,6
1206,8
1210,8
1211,8
1212,8
1213,8
1214,8
1215,7
1216,8
1218,1
1219,2
1220,2
1221,6
1222,1
1224,2
1227,8
1229,4
1231,5
1233,2
1234,7
1236,6
1238,1
1239,5
1240,8
1241,2
1242,8
1243,2
1244,1
1245,5
1246,6
1247,8
1248,7
1249,1
1250,8
1251,8
1252,2
1253,8
1254,8
1255,6
1256,8
1258,8
1259,6
1260,8
1261,1
1262,1
1263,4
1264,1
1265,1
1268,8
1269,6
1270,7
1271,2
1272,7
1273,1
1275,8
1276,8
1279,1
1281,7
1283,6
1284,8
1285,8
1286,5
1287,2
1288,3
1289,1
1290,6
1291,8
1292,1
1295,5
1296,8
1297,7
1298,7
1299,8
1300,6
1301,1
1302,8
1303,8
1304,7
1307,8
1308,7
1309,7
1310,6
1312,7
1313,4
1314,2
1315,6
1316,1
1317,8
1319,8
1321,1
1322,1
1324,5
1326,7
1327,8
1329,5
1330,2
1331,6
1332,1
1333,8
1334,6
1335,2
1337,2
1338,1
1339,1
1342,8
1343,7
1346,8
1347,4
1349,8
1350,8
1351,5
1352,1
1353,8
1354,1
1355,7
1356,1
1357,1
1359,6
1360,8
1362,5
1363,8
1365,8
1366,8
1367,8
1368,8
1369,2
1370,8
1371,8
1372,8
1374,8
1375,1
1376,8
1379,8
1381,5
1384,4
1385,8
1388,1
1389,5
1391,8
1392,2
1393,8
1394,6
1396,6
1397,8
1399,2
1400,6
1401,2
1404,8
1406,5
1408,4
1409,1
1411,7
1413,7
1414,2
1415,6
1416,1
1417,1
1418,8
1420,5
1421,8
1422,8
1423,2
1424,3
1425,2
1427,8
1429,1
1430,3
1431,3
1432,1
1433,4
1434,7
1435,8
1439,8
1440,8
1442,8
1443,6
1445,1
1446,7
1447,8
1449,8
1450,5
1451,8
1452,1
1453,8
1455,8
1456,5
1458,8
1460,2
1461,8
1462,8
1464,5
1465,5
1466,6
1468,8
1469,5
1470,5
1472,1
1473,5
1474,8
1477,4
1478,5
1479,8
1483,8
1484,5
1485,8
1486,6
1487,1
1488,7
1490,1
1492,8
1493,7
1495,7
1497,8
1498,1
1499,3
1502,2
1506,8
1507,7
1508,8
1509,7
1510,8
1511,8
1512,6
1513,5
1514,8
1516,8
1518,7
1519,1
1522,3
1524,6
1525,7
1527,8
1528,5
1531,2
1532,8
1533,6
1534,8
1535,8
1536,8
1537,5
1538,2
1539,7
1540,1
1541,8
1542,7
1545,1
1546,6
1548,8
1549,8
1551,8
1553,6
1555,7
1556,1
1557,3
1558,7
1559,8
1560,8
1561,7
1562,8
1564,8
1565,5
1566,6
1567,8
1568,7
1569,5
1570,5
1571,6
1572,5
1573,5
1577,8
1578,2
1580,8
1581,8
1583,8
1586,8
1587,8
1588,8
1590,5
1591,1
1592,2
1593,6
1594,8
1595,8
1597,1
1599,8
1600,1
1601,7
1602,8
1603,8
1604,8
1605,8
1606,8
1607,3
1608,8
1609,7
1610,6
1612,1
1614,3
1616,8
1617,8
1619,1
1620,8
1621,6
1622,3
1623,7
1624,1
1625,8
1626,4
1628,8
1629,6
1631,6
1632,8
1633,2
1634,7
1635,3
1636,8
1637,2
1641,7
1643,6
1644,8
1646,8
1647,7
1649,1
1650,7
1651,8
1652,7
1653,5
1655,4
1656,8
1657,6
1658,4
1659,4
1660,7
1664,5
1665,8
1667,8
1669,6
1671,1
1673,3
1674,6
1675,8
1676,1
1677,1
1678,6
1679,2
1680,8
1684,6
1685,7
1686,8
1689,1
1690,2
1691,5
1692,1
1695,4
1696,8
1697,2
1698,8
1699,2
1701,3
1702,3
1703,6
1705,1
1706,5
1707,8
1708,3
1709,7
1710,1
1711,8
1713,8
1714,8
1715,2
1718,7
1719,2
1720,4
1721,8
1723,1
1725,8
1726,8
1727,7
1728,6
1729,8
1730,5
1731,8
1732,8
1733,8
1734,1
1735,7
1736,1
1737,7
1741,7
1742,8
1743,5
1744,8
1745,8
1746,5
1747,6
1748,8
1749,6
1750,4
1751,5
1752,1
1753,8
1754,6
1755,7
1756,5
1757,8
1758,8
1759,8
1760,1
1762,7
1764,6
1768,8
1769,7
1770,7
1773,1
1774,5
1775,8
1776,8
1778,8
1779,7
1780,1
1781,1
1782,8
1783,1
1785,8
1786,4
1787,6
1788,8
1789,7
1790,1
1791,2
1792,3
1793,7
1794,6
1795,4
1796,6
1797,7
1798,8
1800,8
1801,7
1802,3
1803,5
1804,8
1805,1
1807,6
1808,7
1809,4
1811,7
1813,8
1815,7
1816,2
1817,7
1820,2
1821,5
1825,7
1826,5
1827,2
1828,6
1829,8
1830,8
1831,8
1832,6
1833,1
1836,5
1837,2
1838,3
1839,1
1840,8
1841,2
1842,7
1843,4
1845,7
1846,1
1847,5
1852,8
1853,8
1854,2
1855,1
1857,7
1858,6
1859,7
1860,8
1861,6
1864,8
1865,7
1866,8
1867,1
1868,8
1869,8
1870,1
1871,4
1873,8
1876,8
1878,1
1879,8
1880,8
1881,3
1882,8
1883,4
1884,7
1885,1
1886,5
1887,8
1888,3
1889,5
1890,3
1891,8
1892,8
1893,2
1894,7
1895,8
1896,7
1897,8
1898,6
1899,8
1901,3
1903,5
1906,5
1907,7
1909,2
1910,8
1911,8
1912,8
1913,7
1915,8
1917,2
1918,8
1919,6
1920,1
1921,8
1923,5
1924,3
1925,4
1926,5
1927,1
1928,8
1929,8
1930,8
1931,1
1932,7
1935,2
1936,6
1937,1
1938,7
1940,7
1941,8
1943,8
1944,6
1945,2
1946,5
1948,6
1949,6
1950,8
1951,6
1952,6
1953,2
1954,8
1955,6
1956,7
1958,1
1959,1
1960,6
1961,6
1962,8
1963,8
1964,8
1965,5
1966,5
1967,1
1968,8
