Id,Response
1,8
3,1
4,8
9,8
12,1
13,8
21,1
28,1
30,8
36,1
38,1
43,8
45,1
48,8
50,8
51,1
54,1
55,1
59,8
62,1
63,1
66,1
69,8
82,8
83,1
84,1
86,1
89,8
90,1
92,1
98,8
100,8
105,8
115,1
119,1
124,8
127,1
133,8
140,8
141,1
143,8
151,1
154,8
157,8
163,1
166,8
168,1
170,1
173,8
180,8
182,8
184,1
185,8
195,8
196,8
197,1
212,1
213,8
219,1
225,1
227,8
232,1
239,8
247,1
251,8
254,8
261,8
264,8
267,1
272,1
275,8
277,8
283,1
284,8
287,8
291,8
293,1
294,1
305,1
307,8
309,1
311,8
322,8
323,8
326,8
330,1
335,1
337,1
338,1
341,1
346,8
348,1
352,1
356,8
358,8
366,8
369,8
373,8
375,8
381,8
384,1
386,8
396,1
397,8
399,8
405,1
412,8
417,1
421,1
425,1
427,1
430,8
432,1
433,1
436,1
438,8
441,8
442,1
444,8
446,1
448,8
450,8
454,8
465,8
470,1
472,8
475,8
484,1
495,1
497,8
498,1
501,1
502,1
505,1
515,1
516,1
527,8
529,1
531,8
533,1
537,8
541,8
546,8
548,8
549,8
550,8
553,1
559,8
561,1
564,1
574,8
578,1
579,8
580,8
582,1
584,8
588,8
596,1
602,1
603,1
613,8
614,8
619,8
620,1
624,8
625,1
628,1
630,8
635,8
636,8
637,1
641,8
644,8
648,1
654,8
658,8
664,8
666,8
667,8
670,8
672,1
674,8
676,8
684,1
685,8
693,1
694,1
700,8
702,8
703,1
705,8
711,8
718,1
722,1
726,1
727,8
732,1
735,8
740,1
748,8
750,1
751,1
756,1
762,1
766,8
770,1
771,8
779,8
782,8
784,8
793,1
798,8
800,1
801,1
805,8
807,1
813,1
819,8
820,8
822,8
823,8
833,8
834,8
842,8
845,1
856,8
860,8
864,1
869,8
872,8
877,8
878,8
893,8
894,8
896,1
899,8
900,1
911,8
914,8
917,8
919,8
923,8
925,1
926,8
934,1
938,8
940,1
955,8
956,1
971,8
973,1
978,1
979,1
981,1
988,1
990,8
992,1
996,8
997,1
999,1
1000,1
1006,8
1009,8
1018,1
1025,1
1038,8
1042,8
1045,1
1046,8
1047,8
1050,8
1052,1
1054,8
1057,1
1061,1
1069,1
1071,1
1073,1
1074,8
1075,8
1083,8
1084,8
1089,8
1099,8
1103,8
1110,8
1123,8
1130,1
1135,1
1137,1
1145,1
1147,1
1152,8
1153,8
1154,8
1158,8
1166,1
1170,8
1172,8
1178,8
1179,1
1181,1
1182,1
1183,1
1191,1
1192,1
1200,8
1205,1
1207,8
1208,1
1209,8
1217,8
1223,8
1225,8
1226,8
1228,8
1230,1
1232,8
1235,8
1237,8
1257,8
1266,1
1267,8
1274,1
1277,8
1278,8
1280,8
1282,1
1293,8
1294,8
1305,8
1306,8
1311,8
1318,8
1320,1
1323,8
1325,8
1328,1
1336,8
1340,1
1341,8
1344,1
1345,8
1348,8
1358,1
1361,1
1364,1
1373,8
1377,8
1378,8
1380,8
1382,8
1383,8
1386,8
1387,8
1390,8
1395,8
1398,1
1402,8
1403,8
1405,8
1407,8
1410,8
1412,8
1419,1
1426,1
1428,1
1436,1
1437,1
1438,8
1441,1
1444,1
1448,8
1454,8
1457,8
1459,8
1463,1
1467,8
1471,8
1475,1
1476,8
1480,1
1481,1
1482,8
1489,1
1491,8
1494,1
1496,8
1500,8
1501,8
1503,1
1504,8
1505,1
1515,1
1517,8
1520,1
1521,8
1523,1
1526,8
1529,1
1530,1
1543,8
1544,8
1547,1
1550,8
1552,8
1554,1
1563,8
1574,8
1575,8
1576,1
1579,1
1582,1
1584,8
1585,8
1589,1
1596,1
1598,8
1611,8
1613,1
1615,8
1618,1
1627,8
1630,8
1638,8
1639,1
1640,8
1642,1
1645,1
1648,1
1654,8
1661,8
1662,8
1663,8
1666,8
1668,1
1670,1
1672,8
1681,1
1682,8
1683,1
1687,1
1688,8
1693,1
1694,8
1700,8
1704,8
1712,8
1716,8
1717,8
1722,8
1724,8
1738,1
1739,8
1740,8
1761,1
1763,8
1765,1
1766,8
1767,1
1771,1
1772,1
1777,8
1784,1
1799,8
1806,1
1810,1
1812,8
1814,8
1818,1
1819,8
1822,1
1823,1
1824,8
1834,8
1835,1
1844,1
