Id,Response
1,8
3,8
4,8
9,8
12,8
13,1
21,8
28,1
30,1
36,8
38,1
43,8
45,8
48,8
50,1
51,8
54,8
55,1
59,8
62,1
63,1
66,1
69,8
82,1
83,1
84,8
86,1
89,8
90,1
92,8
98,1
100,8
105,8
115,1
119,1
124,8
127,8
133,1
140,8
141,1
143,8
151,1
154,8
157,1
163,8
166,1
168,1
170,8
173,1
180,8
182,8
184,1
185,1
195,1
196,1
197,8
212,1
213,8
219,1
225,1
227,1
232,1
239,1
247,1
251,1
254,8
261,8
264,8
267,1
272,1
275,1
277,1
283,1
284,8
287,8
291,1
293,8
294,1
305,8
307,8
309,8
311,8
322,8
323,8
326,1
330,1
335,8
337,1
338,1
341,1
346,1
348,1
352,1
356,8
358,1
366,8
369,8
373,8
375,8
381,8
384,8
386,8
396,8
397,1
399,8
405,8
412,8
417,1
421,1
425,8
427,1
430,8
432,1
433,8
436,1
438,8
441,8
442,1
444,1
446,1
448,1
450,1
454,1
465,8
470,1
472,8
475,8
484,8
495,1
497,8
498,1
501,1
502,1
505,8
515,8
516,1
527,1
529,1
531,1
533,8
537,8
541,1
546,8
548,8
549,8
550,1
553,8
559,8
561,1
564,1
574,1
578,1
579,8
580,8
582,1
584,1
588,8
596,8
602,1
603,1
613,1
614,8
619,1
620,8
624,1
625,1
628,1
630,8
635,8
636,8
637,1
641,8
644,1
648,1
654,1
658,8
664,1
666,8
667,8
670,8
672,1
674,8
676,1
684,1
685,8
693,8
694,8
700,8
702,8
703,1
705,8
711,8
718,8
722,1
726,1
727,8
732,1
735,8
740,1
748,1
750,1
751,1
756,1
762,8
766,8
770,1
771,8
779,8
782,8
784,1
793,1
798,8
800,8
801,1
805,1
807,1
813,1
819,1
820,8
822,8
823,1
833,8
834,8
842,1
845,1
856,8
860,1
864,1
869,8
872,1
877,8
878,1
893,1
894,8
896,8
899,1
900,1
911,8
914,8
917,1
919,8
923,8
925,1
926,8
934,1
938,8
940,1
955,8
956,1
971,8
973,1
978,8
979,1
981,1
988,8
990,8
992,1
996,8
997,8
999,1
1000,8
1006,1
1009,1
1018,8
1025,1
1038,8
1042,8
1045,8
1046,1
1047,1
1050,8
1052,8
1054,8
1057,1
1061,8
1069,1
1071,8
1073,1
1074,1
1075,8
1083,1
1084,8
1089,1
1099,1
1103,8
1110,8
1123,1
1130,8
1135,1
1137,1
1145,8
1147,1
1152,8
1153,8
1154,8
1158,8
1166,1
1170,1
1172,8
1178,8
1179,1
1181,1
1182,1
1183,8
1191,8
1192,8
1200,1
1205,1
1207,1
1208,1
1209,1
1217,1
1223,1
1225,1
1226,8
1228,8
1230,1
1232,8
1235,1
1237,8
1257,8
1266,1
1267,1
1274,1
1277,1
1278,8
1280,8
1282,1
1293,8
1294,8
1305,8
1306,8
1311,1
1318,8
1320,1
1323,8
1325,1
1328,1
1336,8
1340,8
1341,1
1344,1
1345,8
1348,8
1358,1
1361,8
1364,1
1373,1
1377,8
1378,8
1380,8
1382,1
1383,8
1386,1
1387,8
1390,1
1395,1
1398,1
1402,8
1403,1
1405,8
1407,8
1410,8
1412,1
1419,8
1426,8
1428,8
1436,1
1437,1
1438,1
1441,8
1444,1
1448,8
1454,1
1457,8
1459,1
1463,1
1467,1
1471,8
1475,1
1476,8
1480,1
1481,1
1482,8
1489,1
1491,1
1494,1
1496,8
1500,1
1501,8
1503,8
1504,1
1505,1
1515,1
1517,8
1520,8
1521,8
1523,8
1526,8
1529,1
1530,8
1543,8
1544,1
1547,1
1550,8
1552,8
1554,1
1563,8
1574,1
1575,8
1576,8
1579,1
1582,8
1584,1
1585,8
1589,8
1596,1
1598,8
1611,8
1613,1
1615,1
1618,8
1627,8
1630,1
1638,8
1639,1
1640,8
1642,8
1645,8
1648,1
1654,8
1661,8
1662,1
1663,1
1666,8
1668,1
1670,1
1672,8
1681,1
1682,1
1683,8
1687,1
1688,8
1693,8
1694,1
1700,8
1704,1
1712,8
1716,1
1717,8
1722,1
1724,8
1738,1
1739,8
1740,1
1761,1
1763,8
1765,8
1766,8
1767,1
1771,8
1772,1
1777,1
1784,8
1799,1
1806,1
1810,1
1812,8
1814,8
1818,1
1819,8
1822,1
1823,8
1824,8
1834,8
1835,1
1844,1
1848,8
1849,1
1850,1
1851,8
1856,1
1862,1
1863,8
1872,8
1874,1
1875,1
1877,1
1900,8
1902,8
1904,8
1905,8
1908,1
1914,8
1916,1
1922,1
1933,1
1934,8
1939,8
1942,8
1947,8
1957,8
1971,8
1973,1
1974,8
1977,1
1981,8
1985,8
1987,1
1989,1
2001,8
2002,1
2007,1
2008,8
2011,1
2021,1
2034,8
2040,8
2044,8
2045,8
2048,8
2051,8
2062,1
2066,1
2068,8
2069,8
2074,1
2075,8
2078,8
2079,8
2080,1
2081,8
2084,1
2085,8
2087,8
2096,1
2102,1
2103,1
2107,1
2117,8
2118,8
2120,8
2121,1
2122,8
2130,8
2136,1
2138,1
2140,1
2143,8
2144,1
2145,8
2147,8
2150,8
2154,8
2155,1
2166,8
2169,8
2173,8
2176,1
2178,8
2179,8
2180,8
2184,8
2185,1
2188,1
2190,8
2194,1
2195,8
2198,1
2205,1
2206,8
2207,1
2212,1
2213,1
2216,8
2218,1
2224,8
2225,1
2228,1
2236,1
2242,1
2246,1
2250,8
2255,1
2256,1
2267,8
2268,8
2269,8
2272,1
2275,8
2280,8
2282,1
2287,8
2289,1
2293,1
2296,1
2307,8
2309,1
2313,8
2325,1
2327,8
2336,8
2339,8
2342,1
2347,8
2350,1
2360,8
2364,8
2369,1
2379,1
2394,8
2395,8
2399,1
2402,8
2410,8
2416,1
2420,8
2427,1
2434,1
2435,1
2441,1
2447,8
2452,8
2463,1
2467,1
2468,1
2470,1
2476,1
2483,8
2487,8
2492,8
2502,8
2504,8
2510,1
2511,8
2512,8
2517,8
2520,1
2521,8
2523,1
2524,1
2525,1
2526,1
2528,1
2530,8
2532,1
2536,8
2540,8
2541,1
2543,1
2549,8
2550,1
2556,1
2557,8
2559,1
2565,1
2566,1
2567,1
2568,1
2570,1
2573,1
2577,8
2578,1
2583,1
2586,1
2587,8
2588,1
2591,8
2597,1
2606,1
2607,1
2608,1
2611,8
2612,1
2613,1
2616,8
2621,8
2622,8
2634,1
2639,8
2642,8
2644,8
2650,8
2655,8
2664,8
2667,8
2670,1
2679,8
2681,1
2683,8
2685,1
2687,8
2696,8
2699,8
2712,8
2716,1
2720,1
2725,1
2726,1
2731,8
2733,8
2740,1
2742,1
2748,8
2749,8
2763,8
2771,1
2772,8
2773,1
2783,8
2784,8
2789,8
2796,1
2798,1
2799,1
2800,1
2802,8
2805,1
2809,8
2816,1
2817,8
2821,8
2822,8
2829,8
2832,8
2842,8
2844,1
2846,1
2851,8
2852,8
2853,8
2856,8
2862,1
2866,8
2868,1
2886,1
2892,1
2893,8
2898,1
2917,1
2923,1
2927,8
2930,8
2931,1
2935,8
2936,8
2961,8
2964,1
2967,8
2968,1
2970,1
2977,8
2978,1
2979,8
2985,8
2986,8
2989,8
2997,1
2999,1
3004,1
3008,1
3010,8
3020,8
3022,1
3024,1
3027,1
3032,8
3033,8
3048,1
3053,1
3056,1
3070,1
3071,8
3073,8
3080,8
3098,8
3099,8
3109,1
3110,8
3115,1
3121,8
3128,1
3132,8
3133,1
3141,1
3144,8
3145,8
3154,1
3159,8
3164,8
3168,1
3172,8
3176,8
3186,1
3193,1
3196,1
3199,8
3200,8
3209,1
3210,8
3214,8
3229,1
3230,8
3233,1
3242,8
3244,8
3249,1
3251,1
3253,8
3264,8
3271,8
3272,1
3274,8
3276,1
3280,1
3282,1
3285,8
3297,8
3298,8
3307,1
3309,1
3310,1
3312,1
3314,1
3315,8
3316,1
3319,1
3322,1
3327,8
3332,8
3334,8
3336,1
3338,8
3340,8
3343,1
3352,8
3353,1
3356,1
3357,1
3360,8
3365,8
3366,8
3367,1
3369,1
3374,8
3376,1
3381,8
3385,1
3386,8
3397,1
3403,1
3409,1
3414,8
3415,8
3423,8
3427,1
3428,1
3439,8
3441,1
3442,8
3447,8
3453,8
3456,8
3458,1
3459,8
3462,8
3464,1
3477,1
3480,8
3483,8
3490,8
3497,8
3498,8
3500,8
3504,8
3509,8
3510,1
3511,8
3525,1
3528,8
3529,1
3531,1
3532,1
3536,1
3537,8
3538,1
3547,1
3557,1
3572,1
3573,1
3588,8
3590,8
3597,8
3601,8
3602,1
3608,8
3611,8
3616,1
3619,8
3623,8
3638,1
3641,8
3643,8
3647,8
3648,8
3662,1
3663,1
3665,8
3679,8
3683,1
3692,8
3700,1
3705,1
3706,8
3711,8
3712,1
3716,1
3725,1
3727,1
3739,1
3740,8
3743,1
3744,8
3750,1
3751,8
3752,8
3753,8
3754,8
3761,8
3762,8
3764,8
3773,8
3774,1
3775,8
3776,1
3785,8
3788,8
3791,8
3792,8
3794,1
3797,8
3798,8
3807,1
3808,8
3810,8
3813,1
3815,8
3818,1
3820,1
3824,8
3832,1
3836,1
3837,8
