Id,Response
1,1
3,8
4,1
9,8
12,8
13,1
21,8
28,1
30,1
36,8
38,1
43,1
45,8
48,1
50,1
51,8
54,8
55,1
59,1
62,1
63,1
66,1
69,1
82,1
83,1
84,1
86,1
89,1
90,1
92,1
98,1
100,1
105,1
115,1
119,1
124,1
127,8
133,1
140,1
141,1
143,1
151,1
154,8
157,1
163,1
166,1
168,1
170,8
173,1
180,1
182,1
184,1
185,1
195,1
196,1
197,8
212,1
213,1
219,1
225,1
227,1
232,1
239,1
247,1
251,1
254,1
261,1
264,1
267,1
272,1
275,1
277,1
283,1
284,1
287,8
291,1
293,1
294,1
305,8
307,1
309,8
311,8
322,1
323,8
326,1
330,1
335,8
337,1
338,1
341,1
346,1
348,1
352,8
356,8
358,1
366,1
369,8
373,1
375,1
381,1
384,8
386,1
396,8
397,1
399,1
405,8
412,1
417,1
421,1
425,8
427,1
430,1
432,1
433,8
436,1
438,1
441,8
442,1
444,1
446,1
448,1
450,1
454,1
465,1
470,1
472,1
475,1
484,8
495,1
497,1
498,1
501,1
502,1
505,8
515,8
516,1
527,1
529,1
531,1
533,8
537,1
541,1
546,1
548,1
549,8
550,1
553,8
559,1
561,1
564,1
574,1
578,1
579,1
580,1
582,8
584,1
588,1
596,8
602,1
603,1
613,1
614,1
619,1
620,8
624,1
625,8
628,1
630,1
635,1
636,1
637,1
641,1
644,1
648,1
654,1
658,1
664,1
666,1
667,1
670,1
672,1
674,1
676,1
684,1
685,1
693,8
694,8
700,1
702,1
703,8
705,1
711,1
718,8
722,1
726,1
727,1
732,1
735,1
740,1
748,1
750,1
751,1
756,1
762,8
766,1
770,1
771,8
779,1
782,1
784,1
793,1
798,1
800,8
801,1
805,1
807,1
813,1
819,1
820,1
822,1
823,1
833,1
834,1
842,1
845,1
856,1
860,1
864,1
869,1
872,1
877,1
878,1
893,1
894,1
896,1
899,1
900,1
911,1
914,1
917,1
919,8
923,1
925,1
926,1
934,1
938,1
940,1
955,1
956,1
971,8
973,1
978,8
979,1
981,1
988,8
990,1
992,8
996,1
997,1
999,1
1000,8
1006,1
1009,1
1018,8
1025,1
1038,1
1042,1
1045,8
1046,1
1047,1
1050,1
1052,8
1054,1
1057,1
1061,1
1069,1
1071,8
1073,1
1074,1
1075,1
1083,1
1084,1
1089,1
1099,1
1103,1
1110,1
1123,1
1130,8
1135,1
1137,8
1145,8
1147,1
1152,1
1153,1
1154,1
1158,1
1166,1
1170,1
1172,1
1178,1
1179,1
1181,1
1182,1
1183,1
1191,8
1192,8
1200,1
1205,1
1207,1
1208,8
1209,1
1217,1
1223,1
1225,1
1226,1
1228,1
1230,1
1232,1
1235,1
1237,8
1257,1
1266,1
1267,1
1274,1
1277,1
1278,1
1280,1
1282,1
1293,8
1294,1
1305,8
1306,1
1311,1
1318,1
1320,1
1323,1
1325,1
1328,1
1336,1
1340,1
1341,1
1344,1
1345,1
1348,1
1358,1
1361,8
1364,1
1373,1
1377,1
1378,1
1380,1
1382,1
1383,1
1386,1
1387,1
1390,1
1395,1
1398,1
1402,1
1403,1
1405,1
1407,1
1410,1
1412,1
1419,8
1426,8
1428,8
1436,1
1437,1
1438,1
1441,8
1444,1
1448,1
1454,1
1457,1
1459,1
1463,1
1467,1
1471,1
1475,1
1476,1
1480,1
1481,1
1482,1
1489,1
1491,1
1494,1
1496,1
1500,1
1501,8
1503,8
1504,1
1505,1
1515,1
1517,1
1520,8
1521,1
1523,8
1526,1
1529,1
1530,8
1543,1
1544,1
1547,8
1550,1
1552,1
1554,1
1563,1
1574,1
1575,1
1576,8
1579,1
1582,8
1584,1
1585,8
1589,8
1596,1
1598,1
1611,8
1613,1
1615,1
1618,8
1627,1
1630,1
1638,1
1639,8
1640,1
1642,8
1645,1
1648,8
1654,1
1661,8
1662,1
1663,1
1666,1
1668,1
1670,1
1672,1
1681,1
1682,1
1683,8
1687,1
1688,1
1693,8
1694,1
1700,1
1704,1
1712,8
1716,1
1717,1
1722,1
1724,1
1738,1
1739,1
1740,1
1761,1
1763,1
1765,8
1766,8
1767,1
1771,8
1772,1
1777,1
1784,8
1799,1
1806,1
1810,1
1812,1
1814,1
1818,1
1819,1
1822,1
1823,8
1824,1
1834,1
1835,1
1844,1
1848,1
1849,1
1850,1
1851,1
1856,1
1862,1
1863,1
1872,8
1874,1
1875,1
1877,1
1900,1
1902,8
1904,1
1905,1
1908,1
1914,1
1916,1
1922,1
1933,1
1934,1
1939,8
1942,8
1947,8
1957,8
1971,1
1973,1
1974,1
1977,1
1981,1
1985,8
1987,1
1989,1
2001,1
2002,1
2007,1
2008,1
2011,1
2021,1
2034,1
2040,1
2044,8
2045,8
2048,1
2051,1
2062,1
2066,1
2068,1
2069,8
2074,1
2075,1
2078,1
2079,1
2080,1
2081,1
2084,1
2085,1
2087,8
2096,1
2102,1
2103,1
2107,1
2117,1
2118,1
2120,1
2121,1
2122,1
2130,1
2136,1
2138,8
2140,1
2143,1
2144,1
2145,8
2147,1
2150,1
2154,8
2155,1
2166,1
2169,1
2173,1
2176,1
2178,1
2179,8
2180,8
2184,1
2185,1
2188,1
2190,1
2194,1
2195,1
2198,8
2205,1
2206,1
2207,1
2212,1
2213,1
2216,1
2218,1
2224,8
2225,1
2228,1
2236,1
2242,1
2246,1
2250,1
2255,1
2256,1
2267,8
2268,1
2269,1
2272,1
2275,8
2280,1
2282,1
2287,8
2289,1
2293,1
2296,1
2307,8
2309,8
2313,1
2325,1
2327,8
2336,1
2339,1
2342,1
2347,8
2350,1
2360,1
2364,1
2369,1
2379,1
2394,1
2395,1
2399,8
2402,1
2410,1
2416,1
2420,8
2427,1
2434,1
2435,1
2441,1
2447,8
2452,1
2463,1
2467,1
2468,1
2470,1
2476,1
2483,1
2487,1
2492,1
2502,1
2504,1
2510,1
2511,1
2512,1
2517,1
2520,1
2521,8
2523,1
2524,8
2525,1
2526,1
2528,1
2530,1
2532,1
2536,1
2540,8
2541,1
2543,1
2549,1
2550,1
2556,1
2557,1
2559,1
2565,1
2566,1
2567,1
2568,1
2570,1
2573,1
2577,1
2578,1
2583,1
2586,1
2587,1
2588,1
2591,1
2597,1
2606,1
2607,1
2608,1
2611,1
2612,1
2613,1
2616,1
2621,1
2622,1
2634,1
2639,8
2642,1
2644,1
2650,1
2655,1
2664,8
2667,1
2670,1
2679,1
2681,1
2683,1
2685,1
2687,1
2696,8
2699,1
2712,1
2716,1
2720,1
2725,1
2726,1
2731,1
2733,1
2740,1
2742,1
2748,8
2749,1
2763,8
2771,1
2772,1
2773,1
2783,1
2784,1
2789,1
2796,1
2798,1
2799,1
2800,1
2802,8
2805,1
2809,1
2816,1
2817,1
2821,8
2822,1
2829,1
2832,1
2842,8
2844,1
2846,1
2851,8
2852,1
2853,8
2856,1
2862,1
2866,1
2868,1
2886,1
2892,1
2893,1
2898,1
2917,8
2923,1
2927,8
2930,1
2931,1
2935,8
2936,1
2961,1
2964,1
2967,8
2968,1
2970,1
2977,8
2978,1
2979,1
2985,1
2986,1
2989,8
2997,1
2999,1
3004,1
3008,8
3010,1
3020,1
3022,1
3024,1
3027,1
3032,1
3033,1
3048,1
3053,1
3056,1
3070,1
3071,1
3073,1
3080,1
3098,1
3099,1
3109,8
3110,1
3115,1
3121,1
3128,1
3132,1
3133,1
3141,1
3144,1
3145,1
3154,8
3159,8
3164,1
3168,8
3172,1
3176,8
3186,1
3193,1
3196,1
3199,8
