Id,Response
1,6
3,5
4,5
9,6
12,6
13,6
21,7
28,7
30,5
36,6
38,7
43,6
45,7
48,7
50,6
51,6
54,6
55,6
59,7
62,5
63,6
66,6
69,8
82,7
83,6
84,5
86,6
89,7
90,4
92,7
98,6
100,7
105,5
115,6
119,4
124,6
127,6
133,7
140,5
141,8
143,6
151,3
154,6
157,6
163,5
166,5
168,7
170,7
173,7
180,4
182,6
184,5
185,7
195,7
196,7
197,7
212,5
213,6
219,7
225,4
227,5
232,4
239,5
247,5
251,4
254,6
261,5
264,6
267,6
272,5
275,7
277,6
283,7
284,5
287,6
291,7
293,5
294,4
305,6
307,5
309,6
311,4
322,6
323,7
326,5
330,5
335,7
337,5
338,5
341,5
346,5
348,6
352,5
356,7
358,5
366,5
369,4
373,6
375,6
381,6
384,6
386,6
396,7
397,6
399,5
405,8
412,6
417,3
421,5
425,6
427,6
430,6
432,5
433,6
436,6
438,5
441,7
442,4
444,5
446,6
448,6
450,5
454,6
465,7
470,5
472,3
475,7
484,6
495,7
497,7
498,7
501,4
502,6
505,7
515,5
516,6
527,6
529,4
531,6
533,4
537,5
541,6
546,6
548,7
549,6
550,6
553,5
559,6
561,4
564,3
574,6
578,6
579,6
580,7
582,5
584,7
588,6
596,4
602,5
603,4
613,7
614,6
619,6
620,5
624,7
625,6
628,5
630,6
635,5
636,6
637,7
641,6
644,7
648,8
654,5
658,6
664,7
666,6
667,5
670,7
672,5
674,7
676,7
684,7
685,6
693,4
694,6
700,7
702,5
703,5
705,6
711,6
718,5
722,6
726,5
727,5
732,8
735,6
740,4
748,6
750,5
751,7
756,6
762,5
766,7
770,5
771,6
779,5
782,5
784,6
793,5
798,4
800,5
801,6
805,6
807,7
813,6
819,7
820,7
822,7
823,5
833,7
834,6
842,7
845,6
856,7
860,5
864,5
869,5
872,6
877,6
878,6
893,7
894,7
896,5
899,6
900,8
911,2
914,6
917,6
919,6
923,4
925,5
926,5
934,6
938,5
940,6
955,6
956,5
971,5
973,6
978,6
979,7
981,7
988,6
990,5
992,5
996,6
997,6
999,6
1000,5
1006,7
1009,5
1018,5
1025,5
1038,6
1042,7
1045,5
1046,7
1047,6
1050,4
1052,6
1054,6
1057,5
1061,6
1069,4
1071,5
1073,6
1074,7
1075,5
1083,6
1084,5
1089,5
1099,5
1103,5
1110,7
1123,6
1130,6
1135,6
1137,7
1145,7
1147,5
1152,7
1153,5
1154,6
1158,6
1166,6
1170,6
1172,7
1178,6
1179,7
1181,6
1182,6
1183,6
1191,5
1192,5
1200,5
1205,4
1207,7
1208,6
1209,6
1217,5
1223,6
1225,6
1226,4
1228,6
1230,5
1232,5
1235,7
1237,5
1257,6
1266,3
1267,5
1274,6
1277,7
1278,5
1280,6
1282,5
1293,6
1294,7
1305,6
1306,6
1311,5
1318,5
1320,6
1323,6
1325,4
1328,4
1336,4
1340,6
1341,8
1344,6
1345,5
1348,6
1358,5
1361,7
1364,6
1373,7
1377,6
1378,7
1380,5
1382,7
1383,4
1386,6
1387,3
1390,5
1395,7
1398,7
1402,6
1403,8
1405,6
1407,6
1410,3
1412,4
1419,6
1426,6
1428,6
1436,6
1437,6
1438,7
1441,6
1444,5
1448,3
1454,6
1457,5
1459,7
1463,6
1467,5
1471,5
1475,5
1476,5
1480,6
1481,5
1482,5
1489,6
1491,6
1494,7
1496,6
1500,7
1501,6
1503,6
1504,4
1505,7
1515,5
1517,8
1520,3
1521,6
1523,7
1526,6
1529,4
1530,6
1543,5
1544,8
1547,5
1550,7
1552,6
1554,5
1563,6
1574,6
1575,5
1576,6
1579,6
1582,5
1584,6
1585,7
1589,6
1596,6
1598,5
1611,5
1613,5
1615,6
1618,4
1627,6
1630,5
1638,7
1639,5
1640,7
1642,6
1645,5
1648,5
1654,6
1661,6
1662,7
1663,6
1666,5
1668,5
1670,6
1672,6
1681,5
1682,6
1683,4
1687,7
1688,8
1693,5
1694,6
1700,7
1704,6
1712,7
1716,6
1717,5
1722,5
1724,5
1738,3
1739,3
1740,6
1761,6
1763,6
1765,6
1766,5
1767,6
1771,4
1772,6
1777,7
1784,4
1799,5
1806,5
1810,4
1812,5
1814,5
1818,7
1819,6
1822,5
1823,6
1824,7
1834,6
1835,5
1844,6
1848,5
1849,7
1850,5
1851,4
1856,5
1862,2
1863,5
1872,6
1874,5
1875,7
1877,6
1900,6
1902,4
1904,5
1905,5
1908,7
1914,6
1916,5
1922,5
1933,5
1934,5
1939,6
1942,6
1947,7
1957,7
1971,6
