Id,Response
2,7
5,6
6,7
7,8
8,7
10,6
11,8
14,5
15,7
16,5
17,4
18,4
19,6
20,3
22,7
23,5
24,6
25,7
26,2
27,7
29,8
31,5
32,4
33,7
34,6
35,6
37,6
39,8
40,6
41,6
42,6
44,6
46,6
47,5
49,4
52,5
53,7
56,6
57,1
58,3
60,6
61,5
64,3
65,6
67,3
68,6
70,6
71,6
72,6
73,6
74,6
75,6
76,4
77,3
78,6
79,5
80,5
81,5
85,8
87,5
88,5
91,6
93,4
94,5
95,8
96,5
97,7
99,6
101,5
102,6
103,3
104,8
106,4
107,6
108,6
109,6
110,6
111,7
112,6
113,7
114,3
116,4
117,5
118,6
120,4
121,8
122,6
123,4
125,5
126,7
128,7
129,5
130,3
131,6
132,6
134,4
135,5
136,5
137,8
138,7
139,4
142,5
144,6
145,8
146,7
147,3
148,4
149,6
150,3
152,6
153,7
155,4
156,7
158,7
159,3
160,5
161,6
162,5
164,4
165,6
167,5
169,8
171,7
172,5
174,5
175,7
176,5
177,7
178,5
179,4
181,5
183,7
186,4
187,7
188,6
189,7
190,6
191,6
192,6
193,6
194,6
198,5
199,5
200,7
201,7
202,5
203,6
204,7
205,6
206,5
207,4
208,4
209,3
210,6
211,5
214,5
215,8
216,6
217,7
218,6
220,5
221,7
222,8
223,6
224,8
226,5
228,4
229,5
230,7
231,4
233,8
234,6
235,6
236,5
237,7
238,6
240,6
241,7
242,6
243,8
244,8
245,6
246,6
248,6
249,3
250,4
252,5
253,6
255,6
256,2
257,6
258,2
259,5
260,6
262,5
263,6
265,7
266,6
268,7
269,6
270,6
271,6
273,7
274,7
276,6
278,7
279,6
280,6
281,5
282,5
285,5
286,6
288,6
289,5
290,8
292,7
295,6
296,6
297,3
298,7
299,3
300,3
301,7
302,5
303,6
304,5
306,4
308,6
310,5
312,6
313,8
314,6
315,6
316,3
317,7
318,7
319,6
320,2
321,6
324,6
325,6
327,5
328,7
329,6
331,4
332,7
333,6
334,7
336,3
339,7
340,8
342,7
343,3
344,7
345,4
347,7
349,7
350,4
351,7
353,3
354,7
355,7
357,3
359,7
360,5
361,6
362,6
363,5
364,5
365,8
367,4
368,7
370,7
371,7
372,6
374,7
376,7
377,4
378,6
379,7
380,4
382,7
383,6
385,4
387,7
388,6
389,4
390,3
391,8
392,6
393,6
394,4
395,7
398,4
400,6
401,4
402,8
403,7
404,5
406,5
407,7
408,6
409,7
410,8
411,8
413,6
414,6
415,7
416,6
418,7
419,7
420,5
422,4
423,1
424,7
426,4
428,6
429,3
431,8
434,5
435,6
437,6
439,5
440,6
443,5
445,7
447,7
449,4
451,7
452,6
453,3
455,4
456,7
457,6
458,4
459,6
460,5
461,3
462,5
463,5
464,6
466,5
467,7
468,8
469,3
471,5
473,5
474,8
476,4
477,8
478,7
479,6
480,5
481,5
482,6
483,7
485,6
486,3
487,7
488,6
489,6
490,8
491,3
492,5
493,4
494,4
496,7
499,7
500,4
503,7
504,6
506,6
507,7
508,8
509,5
510,7
511,4
512,8
513,6
514,7
517,6
518,5
519,7
520,7
521,4
522,6
523,5
524,6
525,5
526,5
528,4
530,6
532,6
534,6
535,6
536,6
538,7
539,6
540,5
542,7
543,1
544,6
545,5
547,4
551,6
552,5
554,7
555,8
556,4
557,5
558,6
560,5
562,6
563,5
565,5
566,6
567,7
568,5
569,4
570,5
571,5
572,7
573,3
575,6
576,3
577,6
581,5
583,6
585,7
586,5
587,7
589,6
590,8
591,6
592,7
593,5
594,4
595,5
597,8
598,5
599,7
600,7
601,2
604,3
605,5
606,7
607,5
608,4
609,6
610,5
611,6
612,5
615,1
616,7
617,7
618,7
621,8
622,7
623,3
626,7
627,4
629,7
631,4
632,7
633,7
634,5
638,6
639,5
640,6
642,3
643,5
645,5
646,6
647,6
649,7
650,8
651,5
652,6
653,7
655,7
656,5
657,1
659,5
660,6
661,5
662,7
663,6
665,6
668,6
669,7
671,3
673,7
675,6
677,4
678,3
679,6
680,6
681,7
682,6
683,5
686,5
687,4
688,6
689,4
690,6
691,2
692,8
695,4
696,6
697,6
698,6
699,8
701,6
704,4
706,2
707,6
708,8
709,7
710,6
712,4
713,4
714,6
715,3
716,5
717,7
719,6
720,8
721,6
723,5
724,7
725,7
728,7
729,7
730,3
731,5
733,7
