Id,Response
2,7
5,6
6,7
7,8
8,7
10,7
11,7
14,6
15,7
16,5
17,4
18,5
19,6
20,3
22,7
23,5
24,6
25,7
26,2
27,7
29,7
31,5
32,5
33,7
34,6
35,6
37,6
39,7
40,6
41,6
42,6
44,5
46,6
47,5
49,3
52,6
53,7
56,6
57,1
58,3
60,6
61,4
64,2
65,5
67,3
68,5
70,5
71,6
72,6
73,6
74,6
75,5
76,5
77,4
78,6
79,5
80,6
81,4
85,7
87,5
88,5
91,6
93,4
94,6
95,8
96,6
97,6
99,7
101,5
102,5
103,3
104,8
106,5
107,7
108,6
109,6
110,7
111,7
112,6
113,7
114,4
116,5
117,5
118,5
120,4
121,8
122,7
123,4
125,5
126,7
128,6
129,6
130,3
131,7
132,7
134,4
135,6
136,5
137,8
138,7
139,4
142,6
144,6
145,8
146,7
147,4
148,4
149,7
150,2
152,6
153,7
155,4
156,7
158,6
159,3
160,5
161,6
162,5
164,4
165,5
167,5
169,8
171,7
172,5
174,5
175,8
176,5
177,7
178,5
179,4
181,6
183,7
186,4
187,7
188,7
189,8
190,6
191,6
192,6
193,5
194,6
198,5
199,4
200,7
201,7
202,4
203,6
204,7
205,6
206,5
207,4
208,5
209,4
210,5
211,5
214,5
215,8
216,6
217,7
218,6
220,5
221,7
222,8
223,6
224,8
226,4
228,4
229,5
230,7
231,4
233,7
234,6
235,6
236,6
237,7
238,5
240,7
241,7
242,5
243,8
244,7
245,6
246,6
248,6
249,2
250,4
252,5
253,6
255,7
256,3
257,5
258,2
259,5
260,6
262,6
263,5
265,6
266,6
268,8
269,6
270,6
271,6
273,7
274,7
276,6
278,7
279,6
280,6
281,5
282,5
285,6
286,6
288,6
289,4
290,7
292,7
295,5
296,6
297,3
298,7
299,3
300,3
301,8
302,5
303,6
304,5
306,4
308,6
310,5
312,6
313,8
314,6
315,6
316,2
317,7
318,7
319,7
320,3
321,6
324,5
325,7
327,5
328,7
329,5
331,5
332,6
333,6
334,7
336,4
339,8
340,8
342,6
343,3
344,7
345,3
347,7
349,7
350,4
351,7
353,2
354,8
355,7
357,3
359,7
360,4
361,6
362,6
363,6
364,5
365,8
367,4
368,7
370,7
371,7
372,6
374,7
376,6
377,4
378,5
379,7
380,3
382,7
383,7
385,4
387,7
388,7
389,5
390,3
391,8
392,6
393,5
394,4
395,7
398,5
400,7
401,5
402,7
403,6
404,4
406,6
407,7
408,7
409,7
410,8
411,7
413,6
414,5
415,7
416,5
418,7
419,7
420,5
422,4
423,2
424,7
426,4
428,6
429,3
431,8
434,4
435,5
437,6
439,5
440,6
443,5
445,7
447,7
449,4
451,7
452,5
453,3
455,4
456,7
457,6
458,4
459,6
460,6
461,3
462,5
463,6
464,6
466,5
467,7
468,8
469,3
471,5
473,4
474,8
476,4
477,8
478,7
479,6
480,4
481,5
482,6
483,7
485,6
486,3
487,7
488,6
489,6
490,8
491,4
492,5
493,4
494,3
496,7
499,7
500,4
503,7
504,5
506,5
507,7
508,8
509,5
510,7
511,4
512,8
513,5
514,7
517,6
518,5
519,7
520,7
521,5
522,5
523,5
524,5
525,5
526,5
528,3
530,5
532,5
534,6
535,7
536,6
538,6
539,7
540,5
542,7
543,1
544,6
545,6
547,4
551,6
552,4
554,7
555,8
556,5
557,6
558,5
560,4
562,6
563,4
565,4
566,6
567,7
568,4
569,5
570,4
571,5
572,7
573,4
575,5
576,2
577,6
581,5
583,6
585,6
586,6
587,7
589,6
590,8
591,6
592,7
593,5
594,3
595,5
597,8
598,6
599,7
600,6
601,3
604,2
605,5
606,7
607,6
608,5
609,6
610,6
611,6
612,5
615,1
616,8
617,7
618,7
621,8
622,7
623,4
626,7
627,4
629,7
631,4
632,7
633,7
634,5
638,7
639,6
640,5
642,4
643,4
645,5
646,6
647,6
649,6
650,8
651,5
652,5
653,7
655,7
656,5
657,1
659,4
660,6
661,5
662,7
663,6
665,6
668,6
669,7
671,3
673,7
675,6
677,4
678,1
679,6
680,6
681,7
682,6
683,6
686,4
687,4
688,6
689,4
690,6
691,2
692,7
695,4
696,7
697,5
698,6
699,8
701,6
704,4
706,2
707,7
708,8
709,7
710,7
712,4
713,4
714,6
715,4
716,5
717,7
719,6
720,7
721,6
723,5
724,7
725,7
728,8
729,7
730,3
731,4
733,7
