Id,Response
2,8
5,4
6,8
7,8
8,8
10,8
11,8
14,6
15,8
16,1
17,6
18,6
19,7
20,4
22,8
23,5
24,8
25,8
26,2
27,8
29,8
31,5
32,2
33,8
34,6
35,7
37,7
39,8
40,7
41,6
42,6
44,6
46,7
47,5
49,6
52,7
53,8
56,6
57,1
58,6
60,2
61,7
64,2
65,7
67,6
68,7
70,6
71,6
72,5
73,5
74,8
75,7
76,6
77,1
78,8
79,6
80,7
81,6
85,8
87,6
88,7
91,7
93,6
94,6
95,8
96,6
97,8
99,7
101,6
102,6
103,1
104,8
106,2
107,8
108,6
109,7
110,7
111,7
112,7
113,5
114,4
116,6
117,1
118,7
120,6
121,8
122,7
123,2
125,6
126,8
128,8
129,5
130,1
131,8
132,8
134,6
135,6
136,5
137,8
138,8
139,2
142,5
144,8
145,8
146,8
147,6
148,2
149,8
150,2
152,8
153,8
155,6
156,8
158,7
159,6
160,7
161,8
162,5
164,6
165,6
167,1
169,8
171,8
172,2
174,7
175,8
176,2
177,8
178,1
179,2
181,5
183,8
186,6
187,8
188,8
189,8
190,6
191,1
192,8
193,5
194,6
198,1
199,2
200,8
201,8
202,6
203,5
204,8
205,5
206,2
207,1
208,6
209,5
210,7
211,6
214,7
215,8
216,7
217,8
218,1
220,4
221,8
222,8
223,7
224,8
226,7
228,6
229,7
230,8
231,5
233,8
234,7
235,6
236,6
237,8
238,2
240,8
241,8
242,8
243,8
244,8
245,6
246,6
248,8
249,6
250,2
252,6
253,7
255,8
256,2
257,4
258,2
259,8
260,8
262,6
263,5
265,8
266,3
268,8
269,8
270,8
271,8
273,8
274,8
276,1
278,8
279,6
280,7
281,2
282,8
285,8
286,8
288,6
289,5
290,8
292,8
295,8
296,6
297,2
298,8
299,1
300,5
301,8
302,1
303,2
304,6
306,1
308,6
310,1
312,6
313,8
314,7
315,8
316,2
317,8
318,8
319,8
320,2
321,7
324,5
325,6
327,1
328,7
329,6
331,6
332,8
333,8
334,8
336,2
339,8
340,8
342,8
343,5
344,8
345,1
347,8
349,8
350,6
351,8
353,2
354,8
355,7
357,2
359,8
360,6
361,7
362,8
363,6
364,6
365,8
367,7
368,8
370,8
371,8
372,5
374,8
376,8
377,2
378,5
379,8
380,1
382,7
383,8
385,2
387,8
388,8
389,1
390,1
391,8
392,8
393,7
394,2
395,8
398,5
400,8
401,2
402,8
403,8
404,8
406,7
407,8
408,8
409,6
410,8
411,8
413,8
414,6
415,7
416,8
418,8
419,8
420,1
422,5
423,1
424,8
426,6
428,4
429,2
431,8
434,5
435,6
437,8
439,6
440,6
443,5
445,8
447,8
449,1
451,8
452,7
453,2
455,2
456,8
457,8
458,5
459,7
460,8
461,1
462,2
463,6
464,7
466,1
467,8
468,8
469,1
471,1
473,6
474,8
476,1
477,8
478,8
479,7
480,2
481,1
482,6
483,8
485,7
486,1
487,8
488,2
489,8
490,8
491,6
492,6
493,5
494,5
496,8
499,8
500,6
503,7
504,8
506,7
507,7
508,7
509,7
510,7
511,1
512,8
513,6
514,8
517,6
518,6
519,8
520,7
521,6
522,5
523,6
524,5
525,5
526,8
528,1
530,6
532,6
534,8
535,8
536,7
538,8
539,8
540,5
542,8
543,1
544,8
545,2
547,6
551,7
552,2
554,8
555,8
556,8
557,6
558,6
560,2
562,8
563,2
565,5
566,8
567,8
568,8
569,1
570,6
571,6
572,8
573,2
575,6
576,7
577,7
581,7
583,2
585,8
586,6
587,8
589,5
590,8
591,6
592,8
593,6
594,1
595,6
597,8
598,7
599,8
600,8
601,1
604,6
605,6
606,8
607,6
608,6
609,7
610,6
611,8
612,6
615,1
616,8
617,8
618,8
621,8
622,8
623,2
626,8
627,6
629,8
631,1
632,8
633,8
634,1
638,6
639,7
640,7
642,7
643,6
645,1
646,8
647,6
649,8
650,8
651,1
652,7
653,8
655,8
656,6
657,1
659,6
660,7
661,2
662,8
663,7
665,5
668,8
669,8
671,2
673,8
675,5
677,5
678,1
679,6
680,6
681,8
682,7
683,5
686,2
687,2
688,7
689,2
690,8
691,1
692,8
695,2
696,8
697,8
698,7
699,8
701,6
704,6
706,2
707,6
708,8
709,8
710,6
712,6
713,2
714,8
715,1
716,6
717,7
719,1
720,8
721,6
723,1
724,8
725,8
728,8
729,8
730,2
731,5
733,8
734,8
736,8
737,5
738,5
739,7
741,1
742,6
743,8
744,1
745,8
746,7
747,8
749,1
752,8
753,8
754,2
755,6
757,1
758,1
759,6
760,6
761,7
763,8
764,2
765,8
767,7
768,7
769,2
772,5
773,6
774,7
775,7
776,6
777,2
778,8
780,8
781,6
783,6
785,8
786,7
787,8
788,2
789,1
790,4
791,8
792,5
794,6
795,7
796,8
797,8
799,1
802,8
803,8
804,6
806,6
808,5
809,6
810,8
811,8
812,5
814,7
815,6
816,6
817,8
818,8
821,2
824,1
825,8
826,2
827,1
828,5
829,7
830,2
831,8
832,8
835,2
836,8
837,8
838,6
839,7
840,8
841,5
843,6
844,8
846,6
847,7
848,6
849,7
850,8
851,8
852,5
853,3
854,8
855,6
857,8
858,8
859,7
861,5
862,2
863,8
865,4
866,6
867,1
868,8
870,8
871,8
873,8
874,8
875,8
876,8
879,8
880,8
881,7
882,6
883,6
884,6
885,8
886,8
887,7
888,8
889,1
890,2
891,6
892,3
895,7
897,5
898,8
901,2
902,1
903,8
904,2
905,6
906,7
907,8
908,8
909,7
910,8
912,8
913,6
915,2
916,6
918,8
920,7
921,8
922,8
924,4
927,7
928,6
929,1
930,1
931,6
932,2
933,8
935,5
936,6
937,8
939,5
941,8
942,6
943,5
944,8
945,7
946,6
947,6
948,8
949,8
950,6
951,2
952,2
953,3
954,8
957,1
958,6
959,8
960,4
961,7
962,5
963,8
964,5
965,7
966,1
967,8
968,5
969,8
970,8
972,5
974,8
975,5
976,7
977,1
980,8
982,6
983,8
984,7
985,8
986,7
987,8
989,7
991,8
993,6
994,8
995,8
998,8
1001,2
1002,8
1003,2
1004,7
1005,6
1007,8
1008,1
1010,5
1011,8
1012,8
1013,7
1014,6
1015,7
1016,8
1017,5
1019,7
1020,5
1021,8
1022,7
1023,7
1024,7
1026,1
1027,8
1028,6
1029,8
1030,8
1031,8
1032,8
1033,8
1034,8
1035,6
1036,8
1037,8
1039,2
1040,6
1041,6
1043,5
1044,8
1048,8
1049,8
1051,8
1053,5
1055,6
1056,8
1058,6
1059,7
1060,8
1062,7
1063,8
1064,8
1065,8
1066,7
1067,6
1068,2
1070,2
1072,8
1076,2
1077,7
1078,5
1079,8
1080,8
1081,8
1082,2
1085,1
1086,1
1087,8
1088,8
1090,8
1091,8
1092,8
1093,6
1094,6
1095,2
1096,6
1097,7
1098,2
1100,6
1101,2
1102,8
1104,2
1105,7
1106,6
1107,8
1108,6
1109,6
1111,1
1112,5
1113,7
1114,2
1115,6
1116,8
1117,7
1118,2
1119,6
1120,8
1121,2
1122,8
1124,6
1125,8
1126,6
1127,8
1128,1
1129,6
1131,8
1132,1
1133,7
1134,8
1136,8
1138,8
1139,8
1140,1
1141,8
1142,7
1143,8
1144,5
1146,8
1148,8
1149,8
1150,2
1151,6
1155,2
1156,2
1157,8
1159,8
1160,8
1161,6
1162,8
1163,8
1164,8
1165,8
1167,8
1168,2
1169,8
1171,5
1173,2
1174,8
1175,8
1176,8
1177,6
1180,8
1184,8
1185,7
1186,6
1187,8
1188,6
1189,7
1190,6
1193,1
1194,6
1195,1
1196,7
1197,8
1198,8
1199,8
1201,6
1202,8
1203,8
1204,8
1206,8
1210,8
1211,8
1212,8
1213,8
1214,8
1215,8
1216,7
1218,2
1219,6
1220,1
1221,6
1222,1
1224,2
1227,8
1229,6
1231,6
1233,2
1234,7
1236,1
1238,5
1239,5
1240,8
1241,6
1242,8
1243,6
1244,8
1245,8
1246,6
1247,8
1248,7
1249,7
1250,8
1251,8
1252,2
1253,8
1254,8
1255,6
1256,8
1258,8
1259,8
1260,8
1261,2
1262,6
1263,6
1264,6
1265,2
1268,4
1269,6
1270,7
1271,6
1272,7
1273,1
1275,8
1276,8
1279,6
1281,6
1283,6
1284,8
1285,8
1286,8
1287,6
1288,2
1289,1
1290,8
1291,8
1292,5
1295,5
1296,8
1297,7
1298,8
1299,8
1300,8
1301,2
1302,7
1303,8
1304,7
1307,8
1308,7
1309,7
1310,6
1312,8
1313,6
1314,5
1315,6
1316,7
1317,8
1319,8
1321,8
1322,6
1324,8
1326,8
1327,8
1329,2
1330,2
1331,7
1332,6
1333,8
1334,6
1335,6
1337,1
1338,6
1339,2
1342,8
1343,7
1346,8
1347,4
1349,8
1350,7
1351,5
1352,2
1353,8
1354,1
1355,6
1356,8
1357,6
1359,6
1360,8
1362,2
1363,8
1365,8
1366,8
1367,8
1368,8
1369,2
1370,8
1371,8
1372,8
1374,8
1375,1
1376,8
1379,8
1381,6
1384,6
1385,8
1388,6
1389,6
1391,8
1392,2
1393,2
1394,6
1396,6
1397,8
1399,7
1400,2
1401,6
1404,8
1406,6
1408,6
1409,1
1411,7
1413,5
1414,8
1415,6
1416,5
1417,6
1418,8
1420,6
1421,8
1422,8
1423,1
1424,2
1425,6
1427,8
1429,6
1430,5
1431,2
1432,1
1433,6
1434,7
1435,8
1439,8
1440,8
1442,8
1443,5
1445,1
1446,7
1447,8
1449,8
1450,5
1451,8
1452,1
1453,8
1455,8
1456,5
1458,8
1460,6
1461,8
1462,8
1464,2
1465,5
1466,8
1468,8
1469,6
1470,8
1472,1
1473,6
1474,8
1477,6
1478,8
1479,8
1483,8
1484,5
1485,8
1486,1
1487,6
1488,8
1490,6
1492,8
1493,7
1495,7
1497,6
1498,7
1499,1
1502,1
1506,8
1507,7
1508,8
1509,7
1510,8
1511,8
1512,3
1513,7
1514,8
1516,8
1518,8
1519,2
1522,3
1524,1
1525,7
1527,8
1528,2
1531,5
1532,8
1533,6
1534,8
1535,1
1536,8
1537,2
1538,2
1539,7
1540,2
1541,8
1542,7
1545,1
1546,6
1548,8
1549,6
1551,8
1553,8
1555,7
1556,6
1557,1
1558,8
1559,8
1560,8
1561,8
1562,8
1564,8
1565,5
1566,6
1567,8
1568,8
1569,2
1570,5
1571,8
1572,5
1573,8
1577,8
1578,6
1580,6
1581,8
1583,8
1586,8
1587,8
1588,8
1590,5
1591,5
1592,6
1593,6
1594,8
1595,8
1597,1
1599,8
1600,1
1601,7
1602,8
1603,8
1604,7
1605,8
1606,8
1607,2
1608,8
1609,7
1610,6
1612,6
1614,4
1616,8
1617,8
1619,7
1620,8
1621,6
1622,2
1623,7
1624,5
1625,8
1626,4
1628,8
1629,6
1631,7
1632,8
1633,5
1634,7
1635,2
1636,8
1637,2
1641,6
1643,6
1644,8
1646,8
1647,8
1649,1
1650,8
1651,8
1652,5
1653,6
1655,6
1656,8
1657,6
1658,6
1659,4
1660,7
1664,6
1665,8
1667,8
1669,6
1671,1
1673,1
1674,6
1675,8
1676,2
1677,7
1678,6
1679,1
1680,8
1684,6
1685,8
1686,8
1689,1
1690,2
1691,6
1692,1
1695,4
1696,8
1697,5
1698,2
1699,1
1701,6
1702,3
1703,8
1705,8
1706,8
1707,8
1708,6
1709,8
1710,8
1711,8
1713,8
1714,8
1715,2
1718,7
1719,6
1720,8
1721,8
1723,2
1725,8
1726,8
1727,8
1728,6
1729,8
1730,6
1731,8
1732,8
1733,6
1734,1
1735,7
1736,1
1737,7
1741,8
1742,8
1743,5
1744,8
1745,8
1746,7
1747,6
1748,7
1749,6
1750,6
1751,5
1752,1
1753,8
1754,6
1755,6
1756,8
1757,8
1758,8
1759,8
1760,1
1762,8
1764,6
1768,8
1769,7
1770,8
1773,6
1774,6
1775,8
1776,8
1778,8
1779,8
1780,1
1781,1
1782,8
1783,1
1785,8
1786,8
1787,6
1788,8
1789,8
1790,1
1791,5
1792,2
1793,6
1794,2
1795,4
1796,8
1797,7
1798,8
1800,5
1801,1
1802,1
1803,2
1804,1
1805,8
1807,6
1808,7
1809,4
1811,8
1813,8
1815,7
1816,6
1817,8
1820,2
1821,5
1825,5
1826,6
1827,2
1828,1
1829,8
1830,8
1831,8
1832,7
1833,1
1836,8
1837,2
1838,3
1839,8
1840,8
1841,6
1842,8
1843,6
1845,7
1846,1
1847,7
1852,8
1853,8
1854,8
1855,6
1857,8
1858,6
1859,7
1860,8
1861,2
1864,7
1865,1
1866,8
1867,2
1868,8
1869,8
1870,1
1871,6
1873,8
1876,7
1878,1
1879,8
1880,8
1881,5
1882,8
1883,6
1884,7
1885,7
1886,2
1887,8
1888,5
1889,5
1890,5
1891,8
1892,7
1893,2
1894,5
1895,6
1896,6
1897,8
1898,6
1899,8
1901,1
1903,5
1906,1
1907,6
1909,6
1910,8
1911,8
1912,8
1913,5
1915,8
1917,6
1918,8
1919,6
1920,1
1921,8
1923,6
1924,6
1925,8
1926,5
1927,1
1928,8
1929,8
1930,8
1931,7
1932,7
1935,8
1936,6
1937,6
1938,6
1940,7
1941,8
1943,8
1944,6
1945,1
1946,7
1948,6
1949,6
1950,8
1951,6
1952,6
1953,1
1954,8
1955,8
1956,6
1958,7
1959,1
1960,7
1961,6
1962,1
1963,8
1964,8
1965,6
1966,7
1967,8
1968,8
