Id,Response
2,8
5,4
6,8
7,8
8,8
10,8
11,8
14,1
15,8
16,1
17,6
18,2
19,7
20,3
22,8
23,5
24,8
25,8
26,1
27,8
29,8
31,5
32,2
33,8
34,6
35,8
37,6
39,8
40,6
41,6
42,4
44,7
46,7
47,5
49,6
52,7
53,8
56,1
57,1
58,6
60,6
61,2
64,5
65,7
67,2
68,7
70,6
71,8
72,5
73,2
74,8
75,6
76,6
77,4
78,7
79,5
80,2
81,7
85,8
87,6
88,7
91,7
93,3
94,5
95,8
96,6
97,8
99,7
101,7
102,6
103,6
104,8
106,6
107,7
108,6
109,7
110,8
111,6
112,6
113,5
114,4
116,1
117,7
118,7
120,6
121,8
122,8
123,2
125,6
126,8
128,8
129,6
130,1
131,8
132,6
134,6
135,6
136,1
137,8
138,8
139,1
142,6
144,5
145,8
146,8
147,1
148,1
149,8
150,2
152,8
153,8
155,2
156,8
158,8
159,6
160,7
161,6
162,2
164,2
165,6
167,6
169,8
171,8
172,1
174,6
175,8
176,5
177,8
178,5
179,2
181,5
183,8
186,2
187,8
188,8
189,8
190,6
191,1
192,7
193,1
194,6
198,7
199,5
200,2
201,8
202,7
203,5
204,7
205,6
206,5
207,6
208,6
209,6
210,2
211,8
214,6
215,8
216,7
217,6
218,1
220,4
221,7
222,8
223,8
224,6
226,7
228,1
229,7
230,8
231,5
233,8
234,6
235,6
236,6
237,8
238,2
240,1
241,6
242,1
243,8
244,5
245,6
246,7
248,7
249,6
250,1
252,6
253,7
255,8
256,6
257,6
258,2
259,1
260,8
262,6
263,2
265,8
266,4
268,7
269,8
270,8
271,8
273,7
274,8
276,6
278,8
279,1
280,7
281,6
282,2
285,8
286,8
288,8
289,5
290,8
292,6
295,8
296,6
297,2
298,8
299,2
300,5
301,8
302,1
303,2
304,6
306,6
308,7
310,7
312,7
313,8
314,7
315,8
316,2
317,8
318,8
319,8
320,1
321,5
324,2
325,6
327,1
328,8
329,6
331,6
332,8
333,6
334,8
336,6
339,8
340,8
342,8
343,5
344,8
345,6
347,8
349,8
350,6
351,8
353,2
354,2
355,6
357,2
359,8
360,1
361,6
362,8
363,2
364,6
365,6
367,6
368,8
370,8
371,8
372,2
374,8
376,8
377,2
378,5
379,7
380,2
382,7
383,8
385,2
387,8
388,8
389,1
390,2
391,8
392,6
393,7
394,1
395,8
398,5
400,8
401,5
402,8
403,2
404,1
406,7
407,8
408,2
409,7
410,8
411,8
413,8
414,6
415,7
416,8
418,8
419,8
420,1
422,5
423,1
424,7
426,1
428,4
429,2
431,8
434,5
435,1
437,8
439,6
440,6
443,8
445,8
447,8
449,6
451,8
452,6
453,2
455,1
456,8
457,7
458,5
459,7
460,6
461,6
462,7
463,4
464,7
466,8
467,8
468,8
469,3
471,7
473,2
474,8
476,7
477,8
478,8
479,6
480,5
481,8
482,8
483,8
485,8
486,1
487,8
488,6
489,1
490,8
491,6
492,2
493,2
494,1
496,8
499,8
500,2
503,7
504,8
506,7
507,6
508,8
509,2
510,6
511,6
512,8
513,5
514,8
517,6
518,6
519,8
520,2
521,6
522,5
523,2
524,5
525,1
526,2
528,1
530,6
532,6
534,8
535,8
536,8
538,8
539,8
540,2
542,2
543,1
544,1
545,8
547,6
551,8
552,6
554,8
555,8
556,6
557,6
558,7
560,1
562,4
563,6
565,5
566,6
567,8
568,8
569,1
570,2
571,6
572,8
573,2
575,6
576,2
577,7
581,6
583,8
585,1
586,4
587,8
589,5
590,8
591,5
592,1
593,2
594,6
595,6
597,8
598,1
599,8
600,8
601,1
604,1
605,4
606,8
607,2
608,5
609,2
610,7
611,6
612,6
615,1
616,8
617,8
618,8
621,8
622,8
623,2
626,8
627,5
629,8
631,1
632,8
633,8
634,1
638,6
639,2
640,1
642,7
643,6
645,8
646,1
647,6
649,8
650,8
651,1
652,7
653,8
655,8
656,6
657,1
659,1
660,7
661,2
662,8
663,6
665,5
668,6
669,8
671,2
673,8
675,6
677,5
678,2
679,6
680,6
681,8
682,7
683,5
686,5
687,6
688,6
689,5
690,8
691,2
692,8
695,1
696,8
697,6
698,7
699,8
701,6
704,1
706,2
707,6
708,8
709,7
710,6
712,2
713,6
714,7
715,6
716,6
717,7
719,2
720,8
721,6
723,1
724,8
725,1
728,8
729,8
730,1
731,5
733,8
734,1
736,8
737,6
738,6
739,1
741,1
742,6
743,8
744,7
745,8
746,7
747,6
749,1
752,8
753,8
754,2
755,5
757,8
758,2
759,6
760,7
761,7
763,8
764,1
765,8
767,6
768,6
769,2
772,6
773,8
774,7
775,7
776,8
777,5
778,6
780,8
781,4
783,8
785,8
786,7
787,6
788,2
789,7
790,6
791,8
792,2
794,6
795,7
796,8
797,8
799,1
802,6
803,8
804,6
806,6
808,6
809,7
810,8
811,2
812,6
814,7
815,2
816,8
817,8
818,8
821,6
824,6
825,8
826,2
827,2
828,2
829,6
830,2
831,8
832,6
835,2
836,7
837,8
838,6
839,7
840,1
841,5
843,5
844,8
846,7
847,6
848,6
849,1
850,6
851,2
852,5
853,3
854,4
855,2
857,8
858,7
859,7
861,6
862,2
863,8
865,4
866,7
867,5
868,8
870,8
871,8
873,8
874,7
875,8
876,8
879,8
880,6
881,2
882,4
883,7
884,7
885,6
886,8
887,7
888,8
889,1
890,2
891,6
892,6
895,7
897,5
898,8
901,2
902,2
903,8
904,2
905,7
906,7
907,7
908,8
909,7
910,8
912,1
913,6
915,5
916,6
918,6
920,7
921,8
922,8
924,4
927,7
928,6
929,4
930,2
931,6
932,2
933,8
935,5
936,6
937,8
939,5
941,8
942,2
943,5
944,8
945,7
946,8
947,6
948,8
949,8
950,4
951,8
952,7
953,4
954,8
957,6
958,6
959,8
960,4
961,7
962,2
963,8
964,6
965,8
966,1
967,8
968,5
969,8
970,8
972,5
974,8
975,5
976,7
977,1
980,8
982,1
983,8
984,7
985,8
986,6
987,8
989,6
991,8
993,6
994,7
995,8
998,8
1001,2
1002,8
1003,2
1004,7
1005,6
1007,5
1008,2
1010,7
1011,8
1012,8
1013,7
1014,6
1015,7
1016,8
1017,5
1019,6
1020,5
1021,8
1022,7
1023,2
1024,8
1026,2
1027,6
1028,6
1029,7
1030,8
1031,7
1032,8
1033,6
1034,8
1035,4
1036,8
1037,8
1039,7
1040,6
1041,8
1043,1
1044,6
1048,8
1049,8
1051,8
1053,5
1055,5
1056,8
1058,6
1059,7
1060,5
1062,6
1063,8
1064,8
1065,8
1066,6
1067,6
1068,2
1070,2
1072,8
1076,5
1077,5
1078,6
1079,8
1080,8
1081,8
1082,1
1085,6
1086,1
1087,8
1088,8
1090,8
1091,8
1092,8
1093,6
1094,5
1095,2
1096,6
1097,7
1098,8
1100,6
1101,2
1102,8
1104,1
1105,7
1106,6
1107,8
1108,6
1109,6
1111,1
1112,5
1113,7
1114,8
1115,8
1116,8
1117,7
1118,2
1119,6
1120,8
1121,6
1122,8
1124,6
1125,8
1126,6
1127,8
1128,6
1129,8
1131,8
1132,2
1133,7
1134,8
1136,6
1138,8
1139,8
1140,2
1141,8
1142,6
1143,8
1144,5
1146,8
1148,8
1149,7
1150,2
1151,6
1155,2
1156,1
1157,7
1159,8
1160,8
1161,8
1162,8
1163,8
1164,8
1165,2
1167,8
1168,5
1169,7
1171,5
1173,2
1174,8
1175,8
1176,8
1177,6
1180,8
1184,8
1185,7
1186,6
1187,8
1188,6
1189,8
1190,6
1193,7
1194,5
1195,6
1196,8
1197,8
1198,8
1199,7
1201,1
1202,8
1203,8
1204,1
1206,8
1210,2
1211,8
1212,8
1213,8
1214,8
1215,8
1216,7
1218,1
1219,6
1220,6
1221,1
1222,2
1224,8
1227,8
1229,4
1231,6
1233,6
1234,2
1236,5
1238,5
1239,2
1240,8
1241,2
1242,8
1243,5
1244,1
1245,6
1246,1
1247,8
1248,8
1249,7
1250,1
1251,8
1252,2
1253,8
1254,8
1255,6
1256,8
1258,8
1259,6
1260,8
1261,2
1262,1
1263,6
1264,7
1265,1
1268,6
1269,8
1270,2
1271,6
1272,8
1273,1
1275,8
1276,8
1279,1
1281,2
1283,8
1284,8
1285,8
1286,1
1287,2
1288,3
1289,1
1290,8
1291,8
1292,2
1295,1
1296,7
1297,5
1298,8
1299,8
1300,8
1301,1
1302,8
1303,8
1304,5
1307,8
1308,6
1309,7
1310,7
1312,8
1313,6
1314,5
1315,5
1316,6
1317,8
1319,8
1321,8
1322,6
1324,8
1326,8
1327,8
1329,2
1330,2
1331,6
1332,6
1333,8
1334,6
1335,6
1337,2
1338,6
1339,6
1342,8
1343,7
1346,8
1347,1
1349,8
1350,8
1351,5
1352,7
1353,8
1354,1
1355,1
1356,8
1357,6
1359,6
1360,8
1362,1
1363,8
1365,8
1366,8
1367,8
1368,5
1369,1
1370,8
1371,8
1372,7
1374,8
1375,1
1376,8
1379,7
1381,6
1384,4
1385,6
1388,6
1389,6
1391,8
1392,5
1393,2
1394,6
1396,2
1397,8
1399,7
1400,1
1401,5
1404,8
1406,7
1408,6
1409,6
1411,6
1413,5
1414,8
1415,6
1416,5
1417,2
1418,7
1420,1
1421,8
1422,8
1423,7
1424,2
1425,6
1427,8
1429,5
1430,2
1431,2
1432,1
1433,6
1434,7
1435,8
1439,8
1440,8
1442,8
1443,5
1445,5
1446,7
1447,8
1449,2
1450,5
1451,8
1452,3
1453,8
1455,8
1456,5
1458,8
1460,6
1461,8
1462,8
1464,2
1465,2
1466,8
1468,8
1469,2
1470,7
1472,2
1473,6
1474,1
1477,6
1478,7
1479,7
1483,7
1484,5
1485,8
1486,8
1487,6
1488,8
1490,1
1492,8
1493,7
1495,6
1497,8
1498,2
1499,6
1502,1
1506,8
1507,6
1508,8
1509,7
1510,8
1511,8
1512,6
1513,2
1514,8
1516,8
1518,8
1519,6
1522,4
1524,6
1525,7
1527,7
1528,2
1531,5
1532,8
1533,7
1534,8
1535,1
1536,8
1537,2
1538,2
1539,7
1540,1
1541,7
1542,7
1545,1
1546,7
1548,8
1549,2
1551,8
1553,8
1555,8
1556,2
1557,1
1558,8
1559,8
1560,7
1561,6
1562,8
1564,8
1565,7
1566,6
1567,7
1568,2
1569,2
1570,5
1571,8
1572,5
1573,7
1577,8
1578,6
1580,8
1581,8
1583,8
1586,8
1587,8
1588,1
1590,6
1591,5
1592,6
1593,7
1594,8
1595,8
1597,1
1599,8
1600,1
1601,7
1602,2
1603,6
1604,8
1605,8
1606,8
1607,5
1608,8
1609,8
1610,6
1612,1
1614,4
1616,8
1617,7
1619,8
1620,8
1621,6
1622,1
1623,5
1624,5
1625,8
1626,4
1628,8
1629,6
1631,7
1632,8
1633,6
1634,7
1635,2
1636,8
1637,2
1641,6
1643,6
1644,6
1646,8
1647,8
1649,6
1650,8
1651,8
1652,5
1653,6
1655,4
1656,2
1657,6
1658,3
1659,6
1660,7
1664,5
1665,6
1667,8
1669,6
1671,1
1673,1
1674,6
1675,8
1676,5
1677,6
1678,6
1679,6
1680,8
1684,6
1685,7
1686,8
1689,6
1690,2
1691,6
1692,8
1695,4
1696,8
1697,6
1698,8
1699,6
1701,5
1702,1
1703,7
1705,7
1706,8
1707,8
1708,3
1709,8
1710,8
1711,1
1713,2
1714,7
1715,7
1718,7
1719,1
1720,7
1721,8
1723,2
1725,8
1726,8
1727,8
1728,1
1729,8
1730,5
1731,8
1732,8
1733,6
1734,1
1735,7
1736,1
1737,6
1741,8
1742,8
1743,1
1744,8
1745,6
1746,7
1747,6
1748,7
1749,6
1750,6
1751,5
1752,2
1753,8
1754,6
1755,6
1756,7
1757,6
1758,8
1759,8
1760,2
1762,8
1764,6
1768,8
1769,6
1770,7
1773,6
1774,7
1775,8
1776,8
1778,6
1779,2
1780,5
1781,1
1782,8
1783,1
1785,8
1786,7
1787,6
1788,8
1789,8
1790,6
1791,2
1792,2
1793,2
1794,8
1795,2
1796,6
1797,8
1798,8
1800,5
1801,7
1802,1
1803,2
1804,1
1805,8
1807,6
1808,7
1809,4
1811,6
1813,8
1815,7
1816,6
1817,8
1820,2
1821,5
1825,5
1826,6
1827,6
1828,1
1829,8
1830,8
1831,8
1832,7
1833,7
1836,5
1837,2
1838,3
1839,8
1840,8
1841,6
1842,7
1843,4
1845,5
1846,1
1847,7
1852,8
1853,7
1854,8
1855,1
1857,1
1858,6
1859,3
1860,8
1861,7
1864,6
1865,7
1866,8
1867,7
1868,8
1869,8
1870,1
1871,6
1873,8
1876,7
1878,2
1879,8
1880,8
1881,5
1882,7
1883,6
1884,8
1885,7
1886,2
1887,8
1888,5
1889,5
1890,5
1891,8
1892,7
1893,5
1894,6
1895,6
1896,1
1897,8
1898,1
1899,8
1901,3
1903,5
1906,1
1907,6
1909,7
1910,8
1911,8
1912,8
1913,5
1915,8
1917,6
1918,8
1919,6
1920,5
1921,8
1923,2
1924,6
1925,7
1926,2
1927,1
1928,8
1929,2
1930,8
1931,6
1932,7
1935,2
1936,5
1937,6
1938,6
1940,7
1941,8
1943,8
1944,6
1945,1
1946,8
1948,6
1949,5
1950,8
1951,6
1952,4
1953,5
1954,8
1955,6
1956,5
1958,7
1959,8
1960,7
1961,6
1962,1
1963,8
1964,8
1965,6
1966,8
1967,7
1968,8
