Id,Response
1,7
3,8
4,6
9,8
12,7
13,8
21,8
28,8
30,1
36,8
38,8
43,8
45,4
48,8
50,4
51,8
54,7
55,8
59,8
62,2
63,8
66,8
69,8
82,8
83,6
84,7
86,8
89,8
90,2
92,8
98,7
100,6
105,5
115,8
119,6
124,6
127,8
133,7
140,6
141,8
143,1
151,6
154,8
157,8
163,1
166,3
168,8
170,6
173,8
180,6
182,8
184,6
185,8
195,8
196,4
197,5
212,6
213,8
219,8
225,6
227,5
232,6
239,6
247,6
251,6
254,6
261,6
264,6
267,8
272,8
275,8
277,7
283,8
284,1
287,7
291,8
293,6
294,6
305,8
307,7
309,8
311,5
322,4
323,4
326,7
330,4
335,8
337,8
338,5
341,1
346,6
348,1
352,4
356,8
358,6
366,7
369,5
373,6
375,8
381,6
384,8
386,6
396,6
397,5
399,7
405,8
412,8
417,2
421,1
425,8
427,8
430,6
432,6
433,8
436,8
438,8
441,8
442,1
444,5
446,8
448,8
450,6
454,7
465,8
470,7
472,5
475,8
484,8
495,8
497,8
498,8
501,6
502,8
505,8
515,2
516,6
527,8
529,2
531,6
533,6
537,2
541,7
546,8
548,8
549,8
550,6
553,8
559,6
561,5
564,2
574,6
578,8
579,6
580,8
582,2
584,8
588,6
596,2
602,6
603,1
613,8
614,4
619,8
620,7
624,5
625,8
628,7
630,7
635,8
636,8
637,8
641,8
644,8
648,8
654,8
658,7
664,8
666,6
667,8
670,8
672,7
674,8
676,8
684,8
685,6
693,6
694,8
700,6
702,6
703,6
705,6
711,8
718,6
722,7
726,8
727,6
732,8
735,8
740,6
748,8
750,6
751,8
756,7
762,6
766,8
770,8
771,5
779,7
782,5
784,7
793,6
798,6
800,6
801,7
805,7
807,8
813,7
819,8
820,8
822,8
823,7
833,8
834,6
842,4
845,8
856,5
860,6
864,6
869,7
872,8
877,6
878,8
893,8
894,8
896,8
899,8
900,8
911,2
914,8
917,1
919,8
923,2
925,8
926,2
934,7
938,8
940,8
955,6
956,6
971,7
973,8
978,8
979,8
981,8
988,8
990,8
992,5
996,8
997,6
999,6
1000,8
1006,8
1009,1
1018,7
1025,6
1038,7
1042,8
1045,6
1046,8
1047,2
1050,6
1052,7
1054,8
1057,8
1061,4
1069,6
1071,7
1073,6
1074,8
1075,7
1083,8
1084,1
1089,5
1099,5
1103,6
1110,8
1123,8
1130,7
1135,8
1137,8
1145,8
1147,6
1152,8
1153,1
1154,8
1158,8
1166,6
1170,6
1172,6
1178,8
1179,8
1181,3
1182,7
1183,8
1191,7
1192,5
1200,6
1205,6
1207,8
1208,2
1209,6
1217,5
1223,8
1225,8
1226,7
1228,6
1230,6
1232,8
1235,8
1237,7
1257,7
1266,1
1267,6
1274,8
1277,8
1278,6
1280,8
1282,8
1293,6
1294,8
1305,8
1306,7
1311,7
1318,6
1320,8
1323,8
1325,2
1328,6
1336,5
1340,7
1341,8
1344,8
1345,7
1348,1
1358,1
1361,8
1364,6
1373,8
1377,6
1378,8
1380,6
1382,6
1383,6
1386,8
1387,1
1390,1
1395,8
1398,8
1402,6
1403,8
1405,8
1407,8
1410,1
1412,2
1419,7
1426,8
1428,8
1436,6
1437,2
1438,8
1441,8
1444,6
1448,1
1454,5
1457,5
1459,8
1463,8
1467,4
1471,7
1475,6
1476,2
1480,8
1481,1
1482,5
1489,7
1491,8
1494,8
1496,8
1500,8
1501,8
1503,6
1504,5
1505,6
1515,5
1517,6
1520,5
1521,4
1523,8
1526,8
1529,6
1530,8
1543,6
1544,8
1547,6
1550,8
1552,7
1554,6
1563,7
1574,8
1575,7
1576,7
1579,2
1582,6
1584,8
1585,8
1589,7
1596,7
1598,5
1611,8
1613,7
1615,6
1618,6
1627,7
1630,4
1638,8
1639,6
1640,8
1642,8
1645,2
1648,6
1654,6
1661,8
1662,6
1663,8
1666,7
1668,2
1670,1
1672,8
1681,1
1682,8
1683,2
1687,8
1688,8
1693,7
1694,8
1700,8
1704,6
1712,8
1716,8
1717,6
1722,1
1724,6
1738,2
1739,2
1740,8
1761,8
1763,8
1765,8
1766,6
1767,8
1771,6
1772,1
1777,8
1784,1
1799,1
1806,8
1810,5
1812,7
1814,3
1818,8
1819,8
1822,5
1823,8
1824,6
1834,6
1835,8
1844,6
1848,6
1849,8
1850,2
1851,6
1856,1
1862,5
1863,6
1872,7
1874,7
1875,8
1877,8
1900,6
1902,6
1904,6
1905,1
1908,8
1914,8
1916,2
1922,2
1933,6
1934,6
1939,6
1942,6
1947,8
1957,8
1971,8
1973,6
1974,6
1977,8
1981,6
1985,8
1987,6
1989,7
2001,5
2002,5
2007,1
2008,8
2011,6
2021,7
2034,8
2040,8
2044,4
2045,8
2048,8
2051,8
2062,7
2066,5
2068,7
2069,6
2074,8
2075,8
2078,8
2079,2
2080,7
2081,5
2084,1
2085,8
2087,8
2096,6
2102,6
2103,8
2107,8
2117,7
2118,1
2120,7
2121,5
2122,6
2130,8
2136,5
2138,8
2140,8
2143,7
